,noc_code,X,occupation,employment,median.income,mean.income,geography,nchar,remote_work
1,12,1490,        0012 Senior government managers and officials,105,103279,97951,Kitchener - Cambridge - Waterloo,4,1
2,12,14132,        0012 Senior government managers and officials,120,94605,97969,Oshawa,4,1
3,12,14160,        0012 Senior government managers and officials,70,108682,113267,St. Catharines - Niagara,4,1
4,12,14154,        0012 Senior government managers and officials,835,103854,107007,Saskatchewan,4,1
5,12,14142,        0012 Senior government managers and officials,160,82237,85866,Prince Edward Island / Œle-du-Prince-…douard,4,1
6,12,1460,        0012 Senior government managers and officials,185,109116,145752,Hamilton,4,1
7,12,1420,        0012 Senior government managers and officials,465,111198,129069,Calgary,4,1
8,12,14168,        0012 Senior government managers and officials,50,71228,76297,Trois-Rivières,4,1
9,12,14178,        0012 Senior government managers and officials,140,112912,120242,Yukon [1],4,1
10,12,1440,        0012 Senior government managers and officials,65,111266,135329,Guelph,4,1
11,12,14156,        0012 Senior government managers and officials,160,104266,109807,Saskatoon,4,1
12,12,14150,        0012 Senior government managers and officials,65,78028,89319,Saguenay,4,1
13,12,14106,        0012 Senior government managers and officials,545,62123,82434,Newfoundland and Labrador / Terre-Neuve-et-Labrador,4,1
14,12,14103,        0012 Senior government managers and officials,75,99860,113822,Moncton,4,1
15,12,14148,        0012 Senior government managers and officials,315,137191,140993,Regina,4,1
16,12,1412,        0012 Senior government managers and officials,70,105170,103642,Barrie,4,1
17,12,14134,        0012 Senior government managers and officials,3005,131570,133720,Ottawa - Gatineau,4,1
18,12,14140,        0012 Senior government managers and officials,40,81231,110543,Peterborough,4,1
19,12,14172,        0012 Senior government managers and officials,700,113699,123153,Victoria [1],4,1
20,12,1430,        0012 Senior government managers and officials,50,145369,137235,Greater Sudbury / Grand Sudbury,4,1
21,12,14176,        0012 Senior government managers and officials,450,105303,119717,Winnipeg,4,1
22,12,14146,        0012 Senior government managers and officials,755,114841,118315,Québec,4,1
23,12,14108,        0012 Senior government managers and officials,480,95175,98831,Nova Scotia / Nouvelle-…cosse,4,1
24,12,1450,        0012 Senior government managers and officials,320,97462,107716,Halifax,4,1
25,12,14107,        0012 Senior government managers and officials,150,127024,136972,Northwest Territories / Territoires du Nord-Ouest [1],4,1
26,12,14170,        0012 Senior government managers and officials,675,105104,150960,Vancouver [1],4,1
27,12,1418,        0012 Senior government managers and officials,2130,103424,122311,British Columbia / Colombie-Britannique [1],4,1
28,12,14138,        0012 Senior government managers and officials,680,113212,117912,Ottawa - Gatineau (partie du Québec / Quebec part),4,1
29,12,1416,        0012 Senior government managers and officials,10,0,0,Brantford [1],4,1
30,12,1414,        0012 Senior government managers and officials,40,84759,112366,Belleville,4,1
31,12,14102,        0012 Senior government managers and officials,720,96081,101460,Manitoba,4,1
32,12,14100,        0012 Senior government managers and officials,50,130491,150405,Lethbridge,4,1
33,12,14144,        0012 Senior government managers and officials,4540,91333,96216,Quebec / QuÈbec [1],4,1
34,12,14130,        0012 Senior government managers and officials,5910,116315,129700,Ontario [1],4,1
35,12,1410,        0012 Senior government managers and officials,2015,119577,133522,Alberta [1],4,1
36,12,14174,        0012 Senior government managers and officials,60,94874,108854,Windsor,4,1
37,12,14105,        0012 Senior government managers and officials,475,87617,95522,New Brunswick / Nouveau-Brunswick,4,1
38,12,14158,        0012 Senior government managers and officials,70,96789,99864,Sherbrooke,4,1
39,12,1427,        0012 Senior government managers and officials,18200,103666,115336,Canada,4,1
40,12,14136,        0012 Senior government managers and officials,2325,137596,138368,Ottawa - Gatineau (Ontario part / partie de l'Ontario),4,1
41,12,14164,        0012 Senior government managers and officials,40,102962,100411,Thunder Bay,4,1
42,12,14162,        0012 Senior government managers and officials,230,117847,128354,St. John's,4,1
43,12,1429,        0012 Senior government managers and officials,910,134754,150379,Edmonton,4,1
44,12,1470,        0012 Senior government managers and officials,55,105230,111201,Kelowna,4,1
45,12,14104,        0012 Senior government managers and officials,1275,100896,105020,Montréal [1],4,1
46,12,14166,        0012 Senior government managers and officials,1665,121814,145761,Toronto,4,1
47,12,14101,        0012 Senior government managers and officials,75,102035,89491,London,4,1
48,12,14109,        0012 Senior government managers and officials,90,145408,152400,Nunavut [1],4,1
49,12,14,        0012 Senior government managers and officials,50,79502,105230,Abbotsford - Mission,4,1
50,12,1480,        0012 Senior government managers and officials,75,104419,111915,Kingston,4,1
51,12,14152,        0012 Senior government managers and officials,65,118464,119685,Saint John,4,1
