"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Canada i1",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14","18,339,455","42,800","55,150"
"0 Legislative and senior management occupations","238,535","104,000","168,000"
"00 Legislative and senior managers","238,535","104,000","168,000"
"000 Legislative and senior managers","238,535","104,000","168,000"
"0001 Legislative and senior managers","238,535","104,000","168,000"
"00010 Legislators","8,425","57,600","72,200"
"00018 Seniors managers - public and private sector 15","230,115","106,000","171,400"
"1 Business, finance and administration occupations","3,244,905","50,000","62,750"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","424,520","87,000","106,400"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","424,520","87,000","106,400"
"1001 Administrative services managers","197,665","89,000","105,400"
"10010 Financial managers","74,540","93,000","113,400"
"10011 Human resources managers","50,390","92,000","102,000"
"10012 Purchasing managers","26,670","93,000","102,500"
"10019 Other administrative services managers","46,060","74,000","97,700"
"1002 Managers in financial and business services","216,415","84,000","107,600"
"10020 Insurance, real estate and financial brokerage managers","33,185","97,000","135,600"
"10021 Banking, credit and other investment managers","74,105","94,000","125,600"
"10022 Advertising, marketing and public relations managers","88,440","75,000","88,100"
"10029 Other business services managers","20,685","65,500","81,200"
"1003 Managers in communication (except broadcasting)","10,445","93,000","101,700"
"10030 Telecommunication carriers managers","10,445","93,000","101,700"
"11 Professional occupations in finance and business","724,510","66,000","87,500"
"111 Professional occupations in finance","390,625","69,000","99,800"
"1110 Auditors, accountants and investment professionals","390,625","69,000","99,800"
"11100 Financial auditors and accountants","197,825","69,000","86,700"
"11101 Financial and investment analysts","57,330","79,000","137,200"
"11102 Financial advisors","94,315","66,500","105,700"
"11103 Securities agents, investment dealers and brokers","12,620","63,200","139,000"
"11109 Other financial officers","28,535","61,600","78,700"
"112 Professional occupations in business","333,885","62,800","73,100"
"1120 Human resources and business service professionals","333,885","62,800","73,100"
"11200 Human resources professionals","94,885","71,500","79,200"
"11201 Professional occupations in business management consulting","97,645","72,000","87,000"
"11202 Professional occupations in advertising, marketing and public relations","141,355","50,800","59,300"
"12 Administrative and financial supervisors and specialized administrative occupations","479,510","53,200","56,450"
"120 Administrative and financial supervisors","66,695","59,600","63,550"
"1201 Administrative and financial supervisors","66,695","59,600","63,550"
"12010 Supervisors, general office and administrative support workers","18,390","61,600","65,700"
"12011 Supervisors, finance and insurance office workers","17,550","64,000","67,500"
"12012 Supervisors, library, correspondence and related information workers","2,535","46,000","48,000"
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","28,215","56,400","61,100"
"121 Specialized administrative occupations","214,445","57,600","61,100"
"1210 Administrative and regulatory occupations","191,125","58,800","63,000"
"12100 Executive assistants","48,125","61,200","67,600"
"12101 Human resources and recruitment officers","39,830","55,200","61,350"
"12102 Procurement and purchasing agents and officers","49,755","64,000","71,500"
"12103 Conference and event planners","21,060","36,800","40,680"
"12104 Employment insurance and revenue officers","32,360","59,200","59,700"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","23,320","45,200","45,200"
"12110 Court reporters, medical transcriptionists and related occupations","9,085","25,200","29,600"
"12111 Health information management occupations","6,245","58,000","57,600"
"12112 Records management technicians","2,845","53,200","55,450"
"12113 Statistical officers and related research support occupations","5,145","51,200","51,950"
"122 Accounting, insurance and related business administrative occupations","198,365","44,800","49,000"
"1220 Accounting, insurance and related business administrative occupations","198,365","44,800","49,000"
"12200 Accounting technicians and bookkeepers","135,850","35,600","40,160"
"12201 Insurance adjusters and claims examiners","30,730","64,500","66,100"
"12202 Insurance underwriters","16,835","67,000","73,600"
"12203 Assessors, business valuators and appraisers","14,950","58,400","66,700"
"13 Administrative occupations and transportation logistics occupations","746,840","44,000","45,760"
"131 Administrative occupations","693,150","43,200","45,000"
"1310 Administrative, property and payroll officers","351,925","47,600","50,560"
"13100 Administrative officers","272,280","46,800","49,880"
"13101 Property administrators","39,720","44,000","51,250"
"13102 Payroll administrators","39,925","54,400","54,550"
"1311 Office administrative assistants - general, legal and medical","341,225","39,200","39,280"
"13110 Administrative assistants","264,150","38,800","38,440"
"13111 Legal administrative assistants","43,425","46,400","46,200"
"13112 Medical administrative assistants","33,655","37,200","36,720"
"132 Transportation and production logistics coordinators and customs brokers and related broker occupations","53,690","51,200","55,800"
"1320 Transportation and production logistics coordinators and customs brokers and related broker occupations","53,690","51,200","55,800"
"13200 Customs, ship and other brokers","4,850","48,000","55,700"
