"","noc10","remote_work","remote_work_manual","occupation"
"1",1,0.714297175239898,0.723974082913753,"Management occupations"
"2",2,0.845191531742842,0.78053546307521,"Business, finance and administration occupations, except management"
"3",3,0.708727136429649,0.700587107522466,"Natural and applied sciences and related occupations, except management"
"4",4,0.033905188954039,0.0551332226727235,"Health occupations, except management"
"5",5,0.781622606583001,0.567316603045885,"Occupations in education, law and social, community and government services, except management"
"6",6,0.565904694693478,0.531686291585218,"Occupations in art, culture, recreation and sport, except management"
"7",7,0.210639623234281,0.17942983179429,"Sales and service occupations, except management"
"8",8,0.0568240297556723,0.0571897545319419,"Trades, transport and equipment operators and related occupations, except management"
"9",9,0.0279094280787525,0.0193631108471089,"Natural resources, agriculture and related production occupations, except management"
"10",10,0.0568240297556723,0.0571897545319419,"Occupations in manufacturing and utilities, except management"
