"","noc43","remote_work_onet","remote_work_manual","occupation"
"1",1,0.907418684452177,0.934353187529083,"Legislative and senior management occupations"
"2",2,0.941529724933452,0.873366243695507,"Specialized middle management occupations"
"3",3,0.706739285825279,0.67642065761258,"Middle management occupations in retail and wholesale trade and customer services"
"4",4,0.295397543969196,0.455742309770695,"Middle management occupations in trades, transportation, production and utilities"
"5",5,1,1,"Professional occupations in finance"
"6",6,1,1,"Professional occupations in business"
"7",7,0.879566692592968,0.856042837702737,"Administrative and financial supervisors and specialized administrative occupations"
"8",8,0.932088710361787,0.904751867686021,"Administrative occupations and transportation logistics occupations"
"9",9,0.61213266847206,0.449344825676051,"Administrative and financial support and supply chain logistics occupations"
"10",10,0.340277471644525,0.574136178861789,"Professional occupations in natural sciences"
"11",11,0.957810030964277,0.976388597108174,"Professional occupations in applied sciences (except engineering)"
"12",12,0.738435794459891,0.584368242199568,"Professional occupations in engineering"
"13",13,0.503731516153925,0.490254578784669,"Technical occupations related to natural and applied sciences"
"14",14,0.0617582859025265,0.120367814938405,"Health treating and consultation services professionals"
"15",15,0.273878150785577,0.343308466146716,"Therapy and assessment professionals"
"16",16,0.00235409397653588,0.0339275273556029,"Nursing and allied health professionals"
"17",17,0.00675588093543004,0.0239651664237123,"Technical occupations in health"
"18",18,0.0190237080317369,0.00988302876271943,"Assisting occupations in support of health services"
"19",19,0.967460078336848,1,"Professional occupations in law"
"20",20,0.993009672491575,0.795740862182032,"Professional occupations in education services"
"21",21,0.545967841499017,0.619745925985849,"Professional occupations in social and community services"
"22",22,0.835489506497065,0.992668247916297,"Professional occupations in government services"
"23",23,0,0,"Occupations in front-line public protection services"
"24",24,0.732623887795499,0.0518300317761368,"Paraprofessional occupations in legal, social, community and education services"
"25",25,0.745290766989005,0.813486834758916,"Assisting occupations in education and in legal and public protection"
"26",26,0.55714312847808,0.111376053487877,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations"
"27",27,0.545077947996923,0.435583934639026,"Professional occupations in art and culture"
"28",28,0.876452874049028,0.557355505071851,"Technical occupations in art, culture and sport"
"29",29,0.556240674332719,0.216333390425623,"Occupations in art, culture and sport"
"30",30,0.0344726847794332,0.965527315220567,"Support occupations in art, culture and sport"
"31",31,0.35643860181506,0.43011512397429,"Retail sales and service supervisors and specialized occupations in sales and services"
"32",32,0.240432399610105,0.41471852479187,"Occupations in sales and services"
"33",33,0.350298016545032,0.223939502690767,"Sales and service representatives and other customer and personal services occupations"
"34",34,0.0641633249196716,0.00642381252670082,"Sales and service support occupations"
"35",35,0.012296662853031,0.0811105121747864,"Technical trades and transportation officers and controllers"
"36",36,0.0574607973914332,0.00340479746946665,"General trades"
"37",37,0.111342841059245,0.0877145392725972,"Mail and message distribution, other transport equipment operators and related maintenance workers"
"38",38,0.131864593683801,0.0764740956586845,"Helpers and labourers and other transport drivers, operators and labourers"
"39",39,0.0856580621900683,0.0773527028591272,"Supervisors and occupations in natural resources, agriculture and related production"
"40",40,0.00822156501294124,0,"Workers and labourers in natural resources, agriculture and related production"
"41",41,0,0.0616147561454208,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors"
"42",42,0.0241509639918678,0.00271717360536225,"Machine operators, assemblers and inspectors in processing, manufacturing and printing"
"43",43,0,0,"Labourers in processing, manufacturing and utilities"
