"","occupation","employment","median.income","mean.income","geography","noc_code","nchar"
"1","00010 Legislators",8425,57600,72200,"Canada","00010",5
"2","00018 Seniors managers - public and private sector",230115,106000,171400,"Canada","00018",5
"3","10010 Financial managers",74540,93000,113400,"Canada","10010",5
"4","10011 Human resources managers",50390,92000,102000,"Canada","10011",5
"5","10012 Purchasing managers",26670,93000,102500,"Canada","10012",5
"6","10019 Other administrative services managers",46060,74000,97700,"Canada","10019",5
"7","10020 Insurance, real estate and financial brokerage managers",33185,97000,135600,"Canada","10020",5
"8","10021 Banking, credit and other investment managers",74105,94000,125600,"Canada","10021",5
"9","10022 Advertising, marketing and public relations managers",88440,75000,88100,"Canada","10022",5
"10","10029 Other business services managers",20685,65500,81200,"Canada","10029",5
"11","10030 Telecommunication carriers managers",10445,93000,101700,"Canada","10030",5
"12","11100 Financial auditors and accountants",197825,69000,86700,"Canada","11100",5
"13","11101 Financial and investment analysts",57330,79000,137200,"Canada","11101",5
"14","11102 Financial advisors",94315,66500,105700,"Canada","11102",5
"15","11103 Securities agents, investment dealers and brokers",12620,63200,139000,"Canada","11103",5
"16","11109 Other financial officers",28535,61600,78700,"Canada","11109",5
"17","11200 Human resources professionals",94885,71500,79200,"Canada","11200",5
"18","11201 Professional occupations in business management consulting",97645,72000,87000,"Canada","11201",5
"19","11202 Professional occupations in advertising, marketing and public relations",141355,50800,59300,"Canada","11202",5
"20","12010 Supervisors, general office and administrative support workers",18390,61600,65700,"Canada","12010",5
"21","12011 Supervisors, finance and insurance office workers",17550,64000,67500,"Canada","12011",5
"22","12012 Supervisors, library, correspondence and related information workers",2535,46000,48000,"Canada","12012",5
"23","12013 Supervisors, supply chain, tracking and scheduling coordination occupations",28215,56400,61100,"Canada","12013",5
"24","12100 Executive assistants",48125,61200,67600,"Canada","12100",5
"25","12101 Human resources and recruitment officers",39830,55200,61350,"Canada","12101",5
"26","12102 Procurement and purchasing agents and officers",49755,64000,71500,"Canada","12102",5
"27","12103 Conference and event planners",21060,36800,40680,"Canada","12103",5
"28","12104 Employment insurance and revenue officers",32360,59200,59700,"Canada","12104",5
"29","12110 Court reporters, medical transcriptionists and related occupations",9085,25200,29600,"Canada","12110",5
"30","12111 Health information management occupations",6245,58000,57600,"Canada","12111",5
"31","12112 Records management technicians",2845,53200,55450,"Canada","12112",5
"32","12113 Statistical officers and related research support occupations",5145,51200,51950,"Canada","12113",5
"33","12200 Accounting technicians and bookkeepers",135850,35600,40160,"Canada","12200",5
"34","12201 Insurance adjusters and claims examiners",30730,64500,66100,"Canada","12201",5
"35","12202 Insurance underwriters",16835,67000,73600,"Canada","12202",5
"36","12203 Assessors, business valuators and appraisers",14950,58400,66700,"Canada","12203",5
"37","13100 Administrative officers",272280,46800,49880,"Canada","13100",5
"38","13101 Property administrators",39720,44000,51250,"Canada","13101",5
"39","13102 Payroll administrators",39925,54400,54550,"Canada","13102",5
"40","13110 Administrative assistants",264150,38800,38440,"Canada","13110",5
"41","13111 Legal administrative assistants",43425,46400,46200,"Canada","13111",5
"42","13112 Medical administrative assistants",33655,37200,36720,"Canada","13112",5
"43","13200 Customs, ship and other brokers",4850,48000,55700,"Canada","13200",5
"44","13201 Production and transportation logistics coordinators",48835,51600,55850,"Canada","13201",5
"45","14100 General office support workers",177980,36800,37400,"Canada","14100",5
"46","14101 Receptionists",147475,23000,25960,"Canada","14101",5
"47","14102 Personnel clerks",11475,48400,48960,"Canada","14102",5
"48","14103 Court clerks and related court services occupations",5105,53600,53450,"Canada","14103",5
"49","14110 Survey interviewers and statistical clerks",11940,17400,28640,"Canada","14110",5
"50","14111 Data entry clerks",40820,32800,34160,"Canada","14111",5
"51","14112 Desktop publishing operators and related occupations",770,49600,50100,"Canada","14112",5
"52","14200 Accounting and related clerks",166545,42800,45360,"Canada","14200",5
"53","14201 Banking, insurance and other financial clerks",19150,47600,51200,"Canada","14201",5
"54","14202 Collection clerks",12400,44800,44320,"Canada","14202",5
"55","14300 Library assistants and clerks",14120,21600,25880,"Canada","14300",5
"56","14301 Correspondence, publication and regulatory clerks",19355,48800,49800,"Canada","14301",5
"57","14400 Shippers and receivers",119965,35600,36800,"Canada","14400",5
"58","14401 Storekeepers and partspersons",44390,43600,46280,"Canada","14401",5
"59","14402 Production logistics workers",8700,49200,53250,"Canada","14402",5
"60","14403 Purchasing and inventory control workers",35085,40400,41760,"Canada","14403",5
"61","14404 Dispatchers",30305,52800,56150,"Canada","14404",5
"62","14405 Transportation route and crew schedulers",3950,54000,57400,"Canada","14405",5
"63","20010 Engineering managers",31400,120000,138000,"Canada","20010",5
"64","20011 Architecture and science managers",14890,1e+05,112100,"Canada","20011",5
"65","20012 Computer and information systems managers",82235,112000,129400,"Canada","20012",5
"66","21100 Physicists and astronomers",2620,97000,107800,"Canada","21100",5
"67","21101 Chemists",16325,65000,70800,"Canada","21101",5
"68","21102 Geoscientists and oceanographers",10880,84000,106300,"Canada","21102",5
"69","21103 Meteorologists and climatologists",915,1e+05,91000,"Canada","21103",5
"70","21109 Other professional occupations in physical sciences",575,72000,77200,"Canada","21109",5
"71","21110 Biologists and related scientists",34980,69500,75500,"Canada","21110",5
"72","21111 Forestry professionals",5165,75000,74700,"Canada","21111",5
"73","21112 Agricultural representatives, consultants and specialists",6930,61200,63350,"Canada","21112",5
"74","21120 Public and environmental health and safety professionals",20010,74000,73800,"Canada","21120",5
"75","21200 Architects",18800,70500,82800,"Canada","21200",5
"76","21201 Landscape architects",2030,64000,68100,"Canada","21201",5
"77","21202 Urban and land use planners",19490,78500,82000,"Canada","21202",5
"78","21203 Land surveyors",7210,67000,69300,"Canada","21203",5
"79","21210 Mathematicians, statisticians and actuaries",13205,89000,107000,"Canada","21210",5
"80","21211 Data scientists",14155,84000,91000,"Canada","21211",5
"81","21220 Cybersecurity specialists",14095,92000,97100,"Canada","21220",5
"82","21221 Business systems specialists",30310,79500,79400,"Canada","21221",5
"83","21222 Information systems specialists",131890,83000,84600,"Canada","21222",5
