"occupation","employment","median.income","mean.income","geography"
"0 Legislative and senior management occupations",238535,104000,168000,"Canada"
"00 Legislative and senior managers",238535,104000,168000,"Canada"
"000 Legislative and senior managers",238535,104000,168000,"Canada"
"0001 Legislative and senior managers",238535,104000,168000,"Canada"
"00010 Legislators",8425,57600,72200,"Canada"
"00018 Seniors managers - public and private sector",230115,106000,171400,"Canada"
"1 Business, finance and administration occupations",3244905,50000,62750,"Canada"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",424520,87000,106400,"Canada"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",424520,87000,106400,"Canada"
"1001 Administrative services managers",197665,89000,105400,"Canada"
"10010 Financial managers",74540,93000,113400,"Canada"
"10011 Human resources managers",50390,92000,102000,"Canada"
"10012 Purchasing managers",26670,93000,102500,"Canada"
"10019 Other administrative services managers",46060,74000,97700,"Canada"
"1002 Managers in financial and business services",216415,84000,107600,"Canada"
"10020 Insurance, real estate and financial brokerage managers",33185,97000,135600,"Canada"
"10021 Banking, credit and other investment managers",74105,94000,125600,"Canada"
"10022 Advertising, marketing and public relations managers",88440,75000,88100,"Canada"
"10029 Other business services managers",20685,65500,81200,"Canada"
"1003 Managers in communication (except broadcasting)",10445,93000,101700,"Canada"
"10030 Telecommunication carriers managers",10445,93000,101700,"Canada"
"11 Professional occupations in finance and business",724510,66000,87500,"Canada"
"111 Professional occupations in finance",390625,69000,99800,"Canada"
"1110 Auditors, accountants and investment professionals",390625,69000,99800,"Canada"
"11100 Financial auditors and accountants",197825,69000,86700,"Canada"
"11101 Financial and investment analysts",57330,79000,137200,"Canada"
"11102 Financial advisors",94315,66500,105700,"Canada"
"11103 Securities agents, investment dealers and brokers",12620,63200,139000,"Canada"
"11109 Other financial officers",28535,61600,78700,"Canada"
"112 Professional occupations in business",333885,62800,73100,"Canada"
"1120 Human resources and business service professionals",333885,62800,73100,"Canada"
"11200 Human resources professionals",94885,71500,79200,"Canada"
"11201 Professional occupations in business management consulting",97645,72000,87000,"Canada"
"11202 Professional occupations in advertising, marketing and public relations",141355,50800,59300,"Canada"
"12 Administrative and financial supervisors and specialized administrative occupations",479510,53200,56450,"Canada"
"120 Administrative and financial supervisors",66695,59600,63550,"Canada"
"1201 Administrative and financial supervisors",66695,59600,63550,"Canada"
"12010 Supervisors, general office and administrative support workers",18390,61600,65700,"Canada"
"12011 Supervisors, finance and insurance office workers",17550,64000,67500,"Canada"
"12012 Supervisors, library, correspondence and related information workers",2535,46000,48000,"Canada"
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",28215,56400,61100,"Canada"
"121 Specialized administrative occupations",214445,57600,61100,"Canada"
