"","noc_code","employment","median.income","mean.income","remote_work_manual"
"1","10010",74540,93000,113400,1
"2","10011",50390,92000,102000,1
"3","10012",26670,93000,102500,0.541816367265469
"4","10019",46060,74000,97700,0.936060524906267
"5","10020",33185,97000,135600,1
"6","10021",74105,94000,125600,1
"7","10022",88440,75000,88100,0.895746346555324
"8","10029",20685,65500,81200,1
"9","10030",10445,93000,101700,0.75
"10","11100",197825,69000,86700,1
"11","11101",57330,79000,137200,1
"12","11102",94315,66500,105700,1
"13","11103",12620,63200,139000,1
"14","11109",28535,61600,78700,1
"15","11200",94885,71500,79200,1
"16","11201",97645,72000,87000,1
"17","11202",141355,50800,59300,1
"18","12010",18390,61600,65700,0.5
"19","12011",17550,64000,67500,1
"20","12012",2535,46000,48000,1
"21","12013",28215,56400,61100,0.75
"22","12100",48125,61200,67600,1
"23","12101",39830,55200,61350,1
"24","12102",49755,64000,71500,0.75
"25","12103",21060,36800,40680,0.5
"26","12104",32360,59200,59700,1
"27","12110",9085,25200,29600,0.25
"28","12111",6245,58000,57600,0.604174682570219
"29","12112",2845,53200,55450,0.5
"30","12113",5145,51200,51950,1
"31","12200",135850,35600,40160,1
"32","12201",30730,64500,66100,0.5
"33","12202",16835,67000,73600,1
"34","12203",14950,58400,66700,0.75
"35","13100",272280,46800,49880,1
"36","13101",39720,44000,51250,0.75
"37","13102",39925,54400,54550,1
"38","13110",264150,38800,38440,1
"39","13111",43425,46400,46200,1
"40","13112",33655,37200,36720,0
"41","13200",4850,48000,55700,0.75
"42","13201",48835,51600,55850,0.46068157802043
"43","14100",177980,36800,37400,0.25
"44","14101",147475,23000,25960,0.5
"45","14102",11475,48400,48960,0.25
"46","14103",5105,53600,53450,0.403536977491961
"47","14110",11940,17400,28640,0.75
"48","14111",40820,32800,34160,1
"49","14112",770,49600,50100,1
"50","14200",166545,42800,45360,1
"51","14201",19150,47600,51200,1
"52","14202",12400,44800,44320,0.25
"53","14300",14120,21600,25880,0
"54","14301",19355,48800,49800,0.75
"55","14400",119965,35600,36800,0
"56","14401",44390,43600,46280,0
"57","14402",8700,49200,53250,0.25
"58","14403",35085,40400,41760,0
"59","14404",30305,52800,56150,0.25
"60","14405",3950,54000,57400,1
"61","20010",31400,120000,138000,0.75
"62","20011",14890,1e+05,112100,0.75
"63","20012",82235,112000,129400,0.75
"64","21100",2620,97000,107800,0.75
"65","21101",16325,65000,70800,0.25
"66","21102",10880,84000,106300,0.75
"67","21103",915,1e+05,91000,0.75
"68","21109",575,72000,77200,1
"69","21110",34980,69500,75500,1
"70","21111",5165,75000,74700,0.5
"71","21112",6930,61200,63350,0.5
"72","21120",20010,74000,73800,0
"73","21200",18800,70500,82800,0.75
"74","21201",2030,64000,68100,0.5
"75","21202",19490,78500,82000,1
"76","21203",7210,67000,69300,0
"77","21210",13205,89000,107000,1
"78","21211",14155,84000,91000,1
"79","21220",14095,92000,97100,1
"80","21221",30310,79500,79400,1
"81","21222",131890,83000,84600,1
"82","21223",24525,73000,75400,1
"83","21230",41000,74000,78000,1
"84","21231",82890,95000,108300,1
"85","21232",87015,81000,87800,1
"86","21233",10825,34800,43200,1
"87","21234",49965,59200,63000,1
"88","21300",64670,86000,96300,0.75
"89","21301",54950,84000,95700,0.25
"90","21310",44580,95000,103100,0.75
"91","21311",24805,1e+05,111400,1
"92","21320",11310,90000,106900,0.5
"93","21321",16115,78000,86100,0
"94","21322",2630,98000,105800,0.5
"95","21330",3320,116000,151200,0.5
"96","21331",3655,93000,110400,0.75
"97","21332",5185,134000,157200,0.5
"98","21390",5505,94000,94900,0.25
"99","21399",6050,86000,87900,1
"100","22100",12555,56800,61250,0
"101","22101",7750,72500,83200,0
"102","22110",10285,46000,47560,0.25
"103","22111",3550,61200,59850,0
"104","22112",6685,53600,53850,0.25
"105","22113",3715,64000,59000,0.25
"106","22114",23925,31800,38240,0.5
"107","22210",13475,50400,53650,0.5
"108","22211",10225,54000,60550,0.75
"109","22212",27445,50800,53000,1
"110","22213",3300,50400,53550,0.75
"111","22214",8985,65500,65200,0.75
"112","22220",66285,66500,67600,0.75
"113","22221",61155,54400,57500,0.75
"114","22222",10200,51200,56600,1
"115","22230",6635,74500,79900,0.25
"116","22231",7195,82000,85900,0.25
"117","22232",19625,70500,72400,0.593281167264811
"118","22233",15620,65500,66800,0
"119","22300",22425,62400,63500,0.75
"120","22301",31250,70000,73500,0.25
"121","22302",16900,59200,62750,0
"122","22303",26260,65500,71300,0.5
"123","22310",44475,67500,70700,0.25
"124","22311",49920,48400,50000,0.384099181073703
"125","22312",9080,92000,98000,0
"126","22313",5570,76000,75500,0
"127","30010",37340,95000,97200,0.75
"128","31100",32985,146000,172400,0.25
"129","31101",9610,149000,182400,0.25
"130","31102",54325,118000,139400,0
"131","31103",10865,85000,90200,0
"132","31110",19905,87000,101400,0.25
"133","31111",6055,79500,84300,0
"134","31112",12445,70000,66300,0
"135","31120",41945,96000,90600,0
"136","31121",11150,62800,58400,0.75
"137","31200",18900,77000,77200,1
"138","31201",8305,48800,58550,0
"139","31202",26185,64000,61900,0
"140","31203",17615,72500,67500,0.5
"141","31204",10660,36400,40120,0.25
"142","31209",6805,31000,43560,0
"143","31300",14520,84000,80700,0.75
"144","31301",324220,76500,73200,0
"145","31302",6505,109000,101000,0
"146","31303",2910,72000,66700,0.316851644841904
"147","32100",9555,42000,44360,0
"148","32101",73385,55600,52600,0
"149","32102",30340,81000,78900,0
"150","32103",13265,77500,75100,0
"151","32104",21220,32800,33480,0
"152","32109",17945,38000,39280,0
"153","32110",2365,38000,51900,0
"154","32111",27930,44400,44960,0
"155","32112",4945,36000,39880,0
"156","32120",20180,72000,68600,0
"157","32121",20035,71500,68600,0
"158","32122",6650,70000,65300,0
"159","32123",3135,56400,55350,0
"160","32124",26560,39600,41000,0.25
"161","32129",5005,48400,50240,0.25
"162","32200",4295,17000,24760,0
"163","32201",37720,18800,23600,0
"164","32209",4750,8200,17700,0
"165","33100",36555,30600,31400,0
"166","33101",20025,44800,43920,0
"167","33102",337655,36000,36520,0
"168","33103",30980,28800,29240,0.146986924388857
"169","33109",35540,30200,35280,0
"170","40010",8015,105000,106200,1
"171","40011",11845,108000,115400,1
"172","40012",1965,97000,98200,1
"173","40019",5010,101000,99900,1
"174","40020",17785,88000,92800,1
"175","40021",31570,114000,108100,1
"176","40030",34225,64000,69400,1
"177","40040",2170,130000,131000,0.25
"178","40041",2690,116000,113500,0
"179","40042",18410,88000,84000,0.25
"180","41100",3240,278000,260000,1
"181","41101",96330,105000,147800,1
"182","41200",74610,109000,109000,1
"183","41201",100070,13600,27920,1
"184","41210",100410,67500,64900,1
"185","41220",153335,82000,72000,1
"186","41221",295900,73000,65500,0.5
"187","41300",66005,67500,64500,0.5
"188","41301",34175,50000,50920,0.754560327198364
"189","41302",27810,48800,49760,0.25
"190","41310",3610,119000,111600,0.284794226830517
"191","41311",5280,80000,74600,1
"192","41320",26965,62400,60600,1
"193","41321",11585,49600,50440,0.837878416472607
"194","41400",35545,78500,82500,1
"195","41401",22635,89000,107600,1
"196","41402",41410,68000,81900,1
"197","41403",42115,68500,68000,1
"198","41404",27115,70000,70900,1
"199","41405",26390,65000,63150,1
"200","41406",10160,48400,50240,1
"201","41407",13575,74000,76300,1
"202","41409",6615,55600,57750,0.75
"203","42100",73090,109000,104000,0
"204","42101",33575,109000,102700,0
"205","42102",1610,72500,70200,0
"206","42200",31205,53600,55650,0.5
"207","42201",176975,43600,43560,0.0390423692879742
"208","42202",224080,25200,27360,0
"209","42203",33340,43600,43320,0
"210","42204",8175,22400,30080,0.25
"211","43100",104550,30400,29920,1
"212","43109",33475,7400,17140,1
"213","43200",5290,68000,65300,0.25
"214","43201",24605,82000,78400,1
"215","43202",10520,65500,63450,0.75
"216","43203",10285,85000,75100,1
"217","43204",35160,71500,71000,0
"218","44100",49205,10300,16200,0
"219","44101",49850,23600,27440,0
"220","44200",9170,45600,44960,0
"221","45100",30255,6320,10580,0.509778743579613
"222","50010",4815,62400,66500,1
"223","50011",7820,60400,74300,0.75
"224","50012",12720,50800,64000,0.5
"225","51100",8945,68000,65400,0.25
"226","51101",2005,54000,53050,0
"227","51102",1565,54800,53750,0.25
"228","51110",13855,38800,43000,1
"229","51111",21690,20200,35000,1
"230","51112",8325,66500,66300,1
"231","51113",10270,51200,55400,0.25
"232","51120",31925,52000,60050,0.25
"233","51121",3255,15100,27840,0
"234","51122",29130,8100,17000,0
"235","52100",9990,42000,42080,0
"236","52110",5050,26800,36720,0
"237","52111",12135,51600,62050,0.75
"238","52112",1845,70500,67900,0.75
"239","52113",25070,39200,43200,0.5
"240","52114",4725,44800,61750,1
"241","52119",27220,62400,70400,0.5
"242","52120",76660,40800,46920,0.75
"243","52121",26585,31600,39720,0.25
"244","53100",6105,13600,22220,0
"245","53110",15710,10800,21860,0
"246","53111",12025,30600,35600,0
"247","53120",8535,7450,14480,0
"248","53121",13970,7600,21500,0
"249","53122",14975,6040,16020,0.75
"250","53123",12195,29600,39920,0
"251","53124",14120,9300,17980,0.5
"252","53125",635,34000,35800,0
"253","53200",2800,17200,98400,0
"254","53201",13940,21200,35480,0.5
"255","53202",1760,3680,18940,0
"256","54100",99150,6650,14720,1
"257","55109",3540,8900,25500,0
"258","60010",76935,97000,113600,0.75
"259","60020",377880,50400,64700,0.75
"260","60030",138395,33200,40280,0.5
"261","60031",25505,40000,49600,0.25
"262","60040",24825,31000,40800,0.75
"263","62010",61520,33600,38760,0.822505945675304
"264","62020",71205,29200,34800,0.25
"265","62021",1935,39600,42000,0.5
"266","62022",5975,25800,31360,0.25
"267","62023",10585,54000,57700,0.75
"268","62024",13140,40800,42720,0.25
"269","62029",11150,40000,41640,0.5
"270","62100",50240,82000,100500,0.897315303430079
"271","62101",34495,37600,47440,0.25
"272","62200",62880,25000,30280,0
"273","62201",5210,54000,60100,0.25
"274","62202",3365,16600,24560,0
"275","63100",77515,53200,66900,1
"276","63101",97705,38000,61650,1
"277","63102",58590,53600,72100,1
"278","63200",179445,16000,20540,0
"279","63201",10605,33600,33600,0
"280","63202",44755,21200,24520,0.5
"281","63210",86365,12700,17200,0
"282","63211",57440,10900,16400,0
"283","63220",10010,46800,50000,0.25
"284","63221",3380,28800,31280,0.25
"285","64100",629295,17600,28560,0
"286","64101",61250,57200,69300,1
"287","64200",17180,16200,19240,0.25
"288","64201",2115,19400,39160,0.5
"289","64300",20175,5560,8280,0
"290","64301",28865,10900,13960,0
"291","64310",17695,23000,29080,0.75
"292","64311",11840,38800,41880,0
"293","64312",11160,31400,36960,1
"294","64313",1715,54000,53200,0.5
"295","64314",16715,20000,22240,0
"296","64320",2670,7300,14980,0
"297","64321",6995,12800,18100,0
"298","64322",2375,14800,19100,0
"299","64400",58750,35200,38160,0.5
"300","64401",7375,31800,35080,0.25
"301","64409",243205,34000,36880,0.650146279750138
"302","64410",116450,32000,35160,0
"303","65100",358760,11100,17360,0
"304","65101",8975,12700,17800,0
"305","65102",225115,16400,20920,0
"306","65109",27970,13200,26640,0
"307","65200",127700,9900,13320,0
"308","65201",391160,10600,15900,0
"309","65202",6845,34800,35000,0
"310","65210",3115,18800,29400,0
"311","65211",34780,8200,16600,0.145800168555108
"312","65220",25095,13400,19680,0
"313","65229",2220,7750,16840,0
"314","65310",251930,17400,22440,0
"315","65311",40005,21000,26080,0
"316","65312",108925,30200,32000,0
"317","65320",17285,25400,26760,0.25
"318","65329",24945,13100,20680,0.0496334216135909
"319","70010",88725,76000,85400,0.5
"320","70011",47050,24000,37240,0.5
"321","70012",73020,65000,74700,0.75
"322","70020",39275,78000,88400,0.75
"323","70021",4010,64500,68100,1
"324","72010",13520,74500,79200,0.25
"325","72011",22355,79000,82400,0.25
"326","72012",7485,82000,82600,0.25
"327","72013",14550,59200,60950,0.25
"328","72014",42120,47600,54900,0.25
"329","72020",25520,74500,79800,0.25
"330","72021",42270,81000,86000,0.5
"331","72022",2030,56400,57150,0.5
"332","72023",1225,96000,97600,0.25
"333","72024",10425,62400,64800,0.25
"334","72025",8380,59600,56500,0.75
"335","72100",37095,54000,55250,0.25
"336","72101",10045,60000,61550,0
"337","72102",18990,53600,54600,0
"338","72103",3810,62000,68400,0
"339","72104",6555,54800,55900,0
"340","72105",12925,61200,63100,0
"341","72106",87165,49600,53800,0
"342","72200",97680,53200,55900,0.25
"343","72201",21960,89000,91100,0
"344","72202",4975,95000,95400,0
"345","72203",13300,107000,105700,0
"346","72204",9700,59600,59000,0
"347","72205",20485,63200,62650,0
"348","72300",50615,52400,54150,0
"349","72301",20825,67000,68900,0
"350","72302",6620,56400,61500,0
"351","72310",155690,40400,43000,0
"352","72311",15900,34000,34960,0
"353","72320",16300,41200,44680,0
"354","72321",8825,48400,51800,0
"355","72400",65385,74000,77900,0
"356","72401",44340,74000,79300,0
"357","72402",29605,59600,62450,0
"358","72403",2495,84000,81000,0
"359","72404",18495,72500,71300,0
"360","72405",2140,61600,62150,0
"361","72406",5845,102000,101500,0
"362","72410",147535,49200,51900,0
"363","72411",28690,43200,46880,0
"364","72420",1585,47200,50440,0
"365","72421",5480,35200,39840,0
"366","72422",10465,60400,61500,0
"367","72423",6580,47200,48280,0.171447902571042
"368","72429",2580,30800,34040,0
"369","72500",13730,76500,81900,0
"370","72501",580,50400,50600,0
"371","72600",17490,92000,109400,0
"372","72601",4655,107000,122500,0
"373","72602",5925,91000,103900,0
"374","72603",1440,96000,99800,0.25
"375","72604",1355,86000,85700,0
"376","72999",8900,45200,49080,0.25
"377","73100",8785,48400,50360,0
"378","73101",8135,31400,35680,0
"379","73102",26455,35200,38080,0
"380","73110",21680,33200,38120,0
"381","73111",8130,45600,46000,0
"382","73112",38795,21400,27760,0
"383","73113",10475,27800,32720,0
"384","73200",48330,30400,34600,0
"385","73201",98405,38000,40240,0
"386","73202",4060,39200,41600,0
"387","73209",10200,29600,34840,0
"388","73300",350460,42400,45240,0
"389","73301",96240,27800,40240,0
"390","73310",5970,116000,109100,0.25
"391","73311",5655,81000,79400,0.25
"392","73400",93255,60800,65900,0
"393","73401",14300,43600,45160,0
"394","73402",4245,68500,70400,0
"395","74100",23075,40800,42560,0.25
"396","74101",33235,61200,55050,0
