Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"2,497,240","43,200","55,100",British Columbia
0 Legislative and senior management occupations,"29,615","108,000","167,600",British Columbia
00 Legislative and senior managers,"29,615","108,000","167,600",British Columbia
000 Legislative and senior managers,"29,615","108,000","167,600",British Columbia
0001 Legislative and senior managers,"29,615","108,000","167,600",British Columbia
00010 Legislators,"1,230","58,000","67,600",British Columbia
00018 Seniors managers - public and private sector 15,"28,385","111,000","172,000",British Columbia
"1 Business, finance and administration occupations","432,880","48,800","59,000",British Columbia
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","56,025","79,500","92,900",British Columbia
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","56,025","79,500","92,900",British Columbia
1001 Administrative services managers,"24,375","82,000","94,200",British Columbia
10010 Financial managers,"8,245","90,000","100,400",British Columbia
10011 Human resources managers,"6,275","87,000","94,600",British Columbia
10012 Purchasing managers,"3,150","87,000","96,300",British Columbia
10019 Other administrative services managers,"6,705","64,500","85,300",British Columbia
1002 Managers in financial and business services,"30,420","76,000","91,700",British Columbia
"10020 Insurance, real estate and financial brokerage managers","6,150","86,000","119,300",British Columbia
"10021 Banking, credit and other investment managers","8,405","87,000","103,300",British Columbia
"10022 Advertising, marketing and public relations managers","12,815","66,000","74,900",British Columbia
10029 Other business services managers,"3,050","65,500","74,100",British Columbia
1003 Managers in communication (except broadcasting),"1,230","93,000","95,000",British Columbia
10030 Telecommunication carriers managers,"1,230","93,000","95,000",British Columbia
11 Professional occupations in finance and business,"93,350","62,400","83,300",British Columbia
111 Professional occupations in finance,"52,300","68,000","97,400",British Columbia
"1110 Auditors, accountants and investment professionals","52,300","68,000","97,400",British Columbia
11100 Financial auditors and accountants,"29,120","67,500","80,400",British Columbia
11101 Financial and investment analysts,"4,845","83,000","175,200",British Columbia
11102 Financial advisors,"12,565","68,000","113,100",British Columbia
"11103 Securities agents, investment dealers and brokers","1,825","49,600","91,100",British Columbia
11109 Other financial officers,"3,945","64,000","80,400",British Columbia
112 Professional occupations in business,"41,050","56,400","65,300",British Columbia
1120 Human resources and business service professionals,"41,050","56,400","65,300",British Columbia
11200 Human resources professionals,"9,530","70,500","78,700",British Columbia
11201 Professional occupations in business management consulting,"11,545","64,500","78,400",British Columbia
"11202 Professional occupations in advertising, marketing and public relations","19,980","45,200","51,350",British Columbia
12 Administrative and financial supervisors and specialized administrative occupations,"65,810","50,000","52,250",British Columbia
120 Administrative and financial supervisors,"8,765","57,600","61,250",British Columbia
1201 Administrative and financial supervisors,"8,765","57,600","61,250",British Columbia
"12010 Supervisors, general office and administrative support workers","2,555","61,600","66,200",British Columbia
"12011 Supervisors, finance and insurance office workers","2,040","62,800","64,400",British Columbia
"12012 Supervisors, library, correspondence and related information workers",470,"28,600","36,000",British Columbia
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","3,695","53,600","59,300",British Columbia
121 Specialized administrative occupations,"25,000","56,000","58,250",British Columbia
1210 Administrative and regulatory occupations,"22,430","57,600","60,250",British Columbia
12100 Executive assistants,"5,955","58,400","63,700",British Columbia
12101 Human resources and recruitment officers,"3,925","56,000","63,350",British Columbia
12102 Procurement and purchasing agents and officers,"5,390","62,000","66,100",British Columbia
