Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"651,845","40,000","49,240",Manitoba
0 Legislative and senior management occupations,"6,180","100,000","180,800",Manitoba
00 Legislative and senior managers,"6,180","100,000","180,800",Manitoba
000 Legislative and senior managers,"6,180","100,000","180,800",Manitoba
0001 Legislative and senior managers,"6,180","100,000","180,800",Manitoba
00010 Legislators,445,"43,600","61,800",Manitoba
00018 Seniors managers - public and private sector 15,"5,730","106,000","190,000",Manitoba
"1 Business, finance and administration occupations","106,750","45,600","52,950",Manitoba
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","10,635","76,500","84,700",Manitoba
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","10,635","76,500","84,700",Manitoba
1001 Administrative services managers,"5,025","78,000","85,900",Manitoba
10010 Financial managers,"1,845","80,000","91,400",Manitoba
10011 Human resources managers,"1,550","84,000","86,900",Manitoba
10012 Purchasing managers,505,"79,000","86,000",Manitoba
10019 Other administrative services managers,"1,130","64,000","75,600",Manitoba
1002 Managers in financial and business services,"5,335","74,000","83,100",Manitoba
"10020 Insurance, real estate and financial brokerage managers","1,115","93,000","114,000",Manitoba
"10021 Banking, credit and other investment managers","1,610","78,000","87,800",Manitoba
"10022 Advertising, marketing and public relations managers","1,930","65,000","68,200",Manitoba
10029 Other business services managers,675,"53,200","63,200",Manitoba
1003 Managers in communication (except broadcasting),275,"90,000","92,000",Manitoba
10030 Telecommunication carriers managers,275,"90,000","92,000",Manitoba
11 Professional occupations in finance and business,"19,060","63,200","79,700",Manitoba
111 Professional occupations in finance,"10,880","67,000","91,600",Manitoba
"1110 Auditors, accountants and investment professionals","10,880","67,000","91,600",Manitoba
11100 Financial auditors and accountants,"6,125","70,500","87,800",Manitoba
11101 Financial and investment analysts,995,"70,500","97,400",Manitoba
11102 Financial advisors,"2,925","61,200","103,500",Manitoba
"11103 Securities agents, investment dealers and brokers",235,"66,500","91,000",Manitoba
11109 Other financial officers,605,"54,400","63,200",Manitoba
112 Professional occupations in business,"8,180","59,200","63,800",Manitoba
1120 Human resources and business service professionals,"8,180","59,200","63,800",Manitoba
11200 Human resources professionals,"3,110","66,000","70,700",Manitoba
11201 Professional occupations in business management consulting,"1,825","66,500","73,300",Manitoba
"11202 Professional occupations in advertising, marketing and public relations","3,245","46,000","51,900",Manitoba
12 Administrative and financial supervisors and specialized administrative occupations,"16,515","51,200","52,050",Manitoba
120 Administrative and financial supervisors,"2,580","60,400","60,850",Manitoba
1201 Administrative and financial supervisors,"2,580","60,400","60,850",Manitoba
"12010 Supervisors, general office and administrative support workers",585,"60,800","59,000",Manitoba
"12011 Supervisors, finance and insurance office workers",890,"64,500","65,600",Manitoba
"12012 Supervisors, library, correspondence and related information workers",120,"39,200","40,000",Manitoba
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",980,"58,400","60,300",Manitoba
121 Specialized administrative occupations,"6,965","54,800","56,150",Manitoba
1210 Administrative and regulatory occupations,"6,205","56,800","58,400",Manitoba
12100 Executive assistants,"1,385","54,800","55,150",Manitoba
12101 Human resources and recruitment officers,900,"54,400","58,700",Manitoba
12102 Procurement and purchasing agents and officers,"1,440","60,000","71,000",Manitoba
12103 Conference and event planners,475,"35,200","39,000",Manitoba
12104 Employment insurance and revenue officers,"2,005","58,800","56,000",Manitoba
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",765,"38,400","38,100",Manitoba
"12110 Court reporters, medical transcriptionists and related occupations",340,"32,000","30,400",Manitoba
12111 Health information management occupations,235,"44,800","46,800",Manitoba
12112 Records management technicians,30,"47,600","38,000",Manitoba
12113 Statistical officers and related research support occupations,165,"31,400","41,600",Manitoba
"122 Accounting, insurance and related business administrative occupations","6,970","42,800","44,680",Manitoba
"1220 Accounting, insurance and related business administrative occupations","6,970","42,800","44,680",Manitoba
12200 Accounting technicians and bookkeepers,"4,645","31,800","36,200",Manitoba
12201 Insurance adjusters and claims examiners,"1,260","60,800","60,100",Manitoba
12202 Insurance underwriters,620,"61,200","64,400",Manitoba
"12203 Assessors, business valuators and appraisers",450,"60,000","62,600",Manitoba
13 Administrative occupations and transportation logistics occupations,"25,140","42,000","42,800",Manitoba
131 Administrative occupations,"22,970","42,000","42,360",Manitoba
"1310 Administrative, property and payroll officers","11,400","46,000","47,160",Manitoba
13100 Administrative officers,"7,795","46,000","47,240",Manitoba
13101 Property administrators,"1,535","41,600","43,800",Manitoba
13102 Payroll administrators,"2,075","49,200","49,320",Manitoba
"1311 Office administrative assistants - general, legal and medical","11,565","38,400","37,680",Manitoba
13110 Administrative assistants,"9,150","38,400","37,200",Manitoba
13111 Legal administrative assistants,"1,350","40,400","41,600",Manitoba
13112 Medical administrative assistants,"1,070","36,800","36,600",Manitoba
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"2,170","46,000","47,160",Manitoba
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"2,170","46,000","47,160",Manitoba
"13200 Customs, ship and other brokers",225,"45,600","44,400",Manitoba
13201 Production and transportation logistics coordinators,"1,945","46,400","47,480",Manitoba
14 Administrative and financial support and supply chain logistics occupations,"35,400","36,400","36,600",Manitoba
"141 Office, court, and data support occupations","17,510","31,200","31,960",Manitoba
1410 Office support and court services occupations,"14,760","31,600","32,320",Manitoba
14100 General office support workers,"8,725","36,000","35,800",Manitoba
14101 Receptionists,"5,450","24,200","25,480",Manitoba
14102 Personnel clerks,450,"44,000","41,200",Manitoba
14103 Court clerks and related court services occupations,140,"52,000","52,000",Manitoba
"1411 Survey, statistical and data entry occupations","2,750","28,600","30,040",Manitoba
14110 Survey interviewers and statistical clerks,785,"20,800","24,320",Manitoba
14111 Data entry clerks,"1,935","32,400","32,360",Manitoba
14112 Desktop publishing operators and related occupations,30,"38,000","30,000",Manitoba
"142 Financial, insurance and related administrative support workers","8,310","40,800","40,800",Manitoba
"1420 Financial, insurance and related administrative support workers","8,310","40,800","40,800",Manitoba
14200 Accounting and related clerks,"7,025","40,400","40,760",Manitoba
"14201 Banking, insurance and other financial clerks",950,"43,600","41,900",Manitoba
14202 Collection clerks,335,"38,400","38,000",Manitoba
"143 Library, correspondence and other clerks","1,110","41,200","40,300",Manitoba
"1430 Library, correspondence and other clerks","1,110","41,200","40,300",Manitoba
14300 Library assistants and clerks,505,"23,400","27,200",Manitoba
