Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"242,845","37,200","50,440",Newfoundland and Labrador
0 Legislative and senior management occupations,"2,020","97,000","142,800",Newfoundland and Labrador
00 Legislative and senior managers,"2,020","97,000","142,800",Newfoundland and Labrador
000 Legislative and senior managers,"2,020","97,000","142,800",Newfoundland and Labrador
0001 Legislative and senior managers,"2,020","97,000","142,800",Newfoundland and Labrador
00010 Legislators,60,"96,000","84,000",Newfoundland and Labrador
00018 Seniors managers - public and private sector,"1,960","97,000","144,600",Newfoundland and Labrador
"1 Business, finance and administration occupations","32,890","47,200","53,700",Newfoundland and Labrador
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","3,210","81,000","88,400",Newfoundland and Labrador
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","3,210","81,000","88,400",Newfoundland and Labrador
1001 Administrative services managers,"1,775","84,000","95,700",Newfoundland and Labrador
10010 Financial managers,520,"80,000","95,600",Newfoundland and Labrador
10011 Human resources managers,560,"94,000","99,200",Newfoundland and Labrador
10012 Purchasing managers,255,"95,000","108,000",Newfoundland and Labrador
10019 Other administrative services managers,445,"70,500","84,000",Newfoundland and Labrador
1002 Managers in financial and business services,"1,335","74,500","79,300",Newfoundland and Labrador
"10020 Insurance, real estate and financial brokerage managers",125,"82,000","86,000",Newfoundland and Labrador
"10021 Banking, credit and other investment managers",420,"85,000","85,200",Newfoundland and Labrador
"10022 Advertising, marketing and public relations managers",535,"69,000","71,200",Newfoundland and Labrador
10029 Other business services managers,250,"62,400","83,000",Newfoundland and Labrador
1003 Managers in communication (except broadcasting),105,"81,000","82,000",Newfoundland and Labrador
10030 Telecommunication carriers managers,105,"81,000","82,000",Newfoundland and Labrador
11 Professional occupations in finance and business,"5,065","68,500","81,200",Newfoundland and Labrador
111 Professional occupations in finance,"2,980","69,000","90,200",Newfoundland and Labrador
"1110 Auditors, accountants and investment professionals","2,980","69,000","90,200",Newfoundland and Labrador
11100 Financial auditors and accountants,"1,870","71,500","89,200",Newfoundland and Labrador
11101 Financial and investment analysts,175,"69,500","72,000",Newfoundland and Labrador
11102 Financial advisors,785,"67,000","101,600",Newfoundland and Labrador
"11103 Securities agents, investment dealers and brokers",30,"60,800","64,000",Newfoundland and Labrador
11109 Other financial officers,115,"58,400","63,000",Newfoundland and Labrador
112 Professional occupations in business,"2,085","68,000","68,400",Newfoundland and Labrador
1120 Human resources and business service professionals,"2,085","68,000","68,400",Newfoundland and Labrador
11200 Human resources professionals,830,"78,500","80,000",Newfoundland and Labrador
11201 Professional occupations in business management consulting,480,"77,500","78,000",Newfoundland and Labrador
"11202 Professional occupations in advertising, marketing and public relations",770,"48,000","50,000",Newfoundland and Labrador
12 Administrative and financial supervisors and specialized administrative occupations,"5,680","52,800","52,050",Newfoundland and Labrador
120 Administrative and financial supervisors,755,"58,800","65,000",Newfoundland and Labrador
1201 Administrative and financial supervisors,755,"58,800","65,000",Newfoundland and Labrador
"12010 Supervisors, general office and administrative support workers",235,"55,600","74,500",Newfoundland and Labrador
"12011 Supervisors, finance and insurance office workers",200,"58,000","59,200",Newfoundland and Labrador
"12012 Supervisors, library, correspondence and related information workers",40,"12,800","28,000",Newfoundland and Labrador
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",280,"61,200","66,000",Newfoundland and Labrador
121 Specialized administrative occupations,"3,300","54,000","52,350",Newfoundland and Labrador
1210 Administrative and regulatory occupations,"2,995","54,400","52,850",Newfoundland and Labrador
12100 Executive assistants,380,"54,800","54,800",Newfoundland and Labrador
12101 Human resources and recruitment officers,340,"52,800","51,800",Newfoundland and Labrador
12102 Procurement and purchasing agents and officers,395,"65,500","74,400",Newfoundland and Labrador
12103 Conference and event planners,165,"19,400","32,800",Newfoundland and Labrador
12104 Employment insurance and revenue officers,"1,710","54,400","49,520",Newfoundland and Labrador
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",305,"51,200","47,600",Newfoundland and Labrador
"12110 Court reporters, medical transcriptionists and related occupations",70,"18,200","23,000",Newfoundland and Labrador
12111 Health information management occupations,140,"54,800","56,000",Newfoundland and Labrador
12112 Records management technicians,65,"50,400","48,000",Newfoundland and Labrador
12113 Statistical officers and related research support occupations,30,"64,500","64,000",Newfoundland and Labrador
