Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"12,965","64,000","71,400",Nunavut
0 Legislative and senior management occupations,270,"156,000","158,000",Nunavut
00 Legislative and senior managers,270,"156,000","158,000",Nunavut
000 Legislative and senior managers,270,"156,000","158,000",Nunavut
0001 Legislative and senior managers,270,"156,000","158,000",Nunavut
00010 Legislators,55,"125,000","116,000",Nunavut
00018 Seniors managers - public and private sector,215,"159,000","168,000",Nunavut
"1 Business, finance and administration occupations","2,385","92,000","87,100",Nunavut
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",295,"136,000","132,000",Nunavut
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",295,"136,000","132,000",Nunavut
1001 Administrative services managers,230,"138,000","137,000",Nunavut
10010 Financial managers,95,"139,000","138,000",Nunavut
10011 Human resources managers,60,"143,000","144,000",Nunavut
10012 Purchasing managers,10,0,"140,000",Nunavut
10019 Other administrative services managers,60,"127,000","132,000",Nunavut
1002 Managers in financial and business services,60,"126,000","116,000",Nunavut
"10020 Insurance, real estate and financial brokerage managers",10,0,"120,000",Nunavut
"10021 Banking, credit and other investment managers",15,0,"120,000",Nunavut
"10022 Advertising, marketing and public relations managers",30,"120,000","120,000",Nunavut
10029 Other business services managers,10,0,"100,000",Nunavut
1003 Managers in communication (except broadcasting),10,0,"120,000",Nunavut
10030 Telecommunication carriers managers,10,0,"120,000",Nunavut
11 Professional occupations in finance and business,240,"119,000","118,000",Nunavut
111 Professional occupations in finance,90,"124,000","128,000",Nunavut
"1110 Auditors, accountants and investment professionals",90,"124,000","128,000",Nunavut
11100 Financial auditors and accountants,50,"141,000","148,000",Nunavut
11101 Financial and investment analysts,15,0,"100,000",Nunavut
11102 Financial advisors,15,0,"90,000",Nunavut
"11103 Securities agents, investment dealers and brokers",0,0,0,Nunavut
11109 Other financial officers,0,0,0,Nunavut
112 Professional occupations in business,155,"116,000","112,000",Nunavut
1120 Human resources and business service professionals,155,"116,000","112,000",Nunavut
11200 Human resources professionals,95,"119,000","116,000",Nunavut
11201 Professional occupations in business management consulting,15,0,"120,000",Nunavut
"11202 Professional occupations in advertising, marketing and public relations",45,"112,000","104,000",Nunavut
12 Administrative and financial supervisors and specialized administrative occupations,360,"103,000","96,000",Nunavut
120 Administrative and financial supervisors,35,"72,500","76,000",Nunavut
1201 Administrative and financial supervisors,35,"72,500","76,000",Nunavut
"12010 Supervisors, general office and administrative support workers",20,"42,000","60,000",Nunavut
"12011 Supervisors, finance and insurance office workers",0,0,0,Nunavut
"12012 Supervisors, library, correspondence and related information workers",0,0,0,Nunavut
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",10,0,"100,000",Nunavut
121 Specialized administrative occupations,190,"104,000","99,000",Nunavut
1210 Administrative and regulatory occupations,180,"105,000","99,000",Nunavut
12100 Executive assistants,50,"96,000","96,000",Nunavut
12101 Human resources and recruitment officers,50,"112,000","108,000",Nunavut
12102 Procurement and purchasing agents and officers,55,"114,000","100,000",Nunavut
12103 Conference and event planners,0,0,0,Nunavut
12104 Employment insurance and revenue officers,15,0,"100,000",Nunavut
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",15,0,"100,000",Nunavut
"12110 Court reporters, medical transcriptionists and related occupations",0,0,0,Nunavut
12111 Health information management occupations,0,0,0,Nunavut
12112 Records management technicians,0,0,0,Nunavut
12113 Statistical officers and related research support occupations,0,0,0,Nunavut
"122 Accounting, insurance and related business administrative occupations",140,"105,000","96,000",Nunavut
"1220 Accounting, insurance and related business administrative occupations",140,"105,000","96,000",Nunavut
12200 Accounting technicians and bookkeepers,135,"103,000","96,000",Nunavut
12201 Insurance adjusters and claims examiners,0,0,0,Nunavut
12202 Insurance underwriters,0,0,0,Nunavut
"12203 Assessors, business valuators and appraisers",0,0,0,Nunavut
13 Administrative occupations and transportation logistics occupations,615,"89,000","82,800",Nunavut
131 Administrative occupations,610,"89,000","82,800",Nunavut
"1310 Administrative, property and payroll officers",385,"93,000","90,800",Nunavut
13100 Administrative officers,260,"89,000","86,000",Nunavut
13101 Property administrators,50,"115,000","112,000",Nunavut
13102 Payroll administrators,70,"102,000","96,000",Nunavut
"1311 Office administrative assistants - general, legal and medical",230,"72,000","69,500",Nunavut
13110 Administrative assistants,195,"75,000","69,000",Nunavut
13111 Legal administrative assistants,20,"76,500","72,000",Nunavut
13112 Medical administrative assistants,0,0,0,Nunavut
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,0,0,0,Nunavut
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,0,0,0,Nunavut
"13200 Customs, ship and other brokers",0,0,0,Nunavut
13201 Production and transportation logistics coordinators,0,0,0,Nunavut
14 Administrative and financial support and supply chain logistics occupations,875,"61,200","62,800",Nunavut
"141 Office, court, and data support occupations",595,"48,000","55,800",Nunavut
1410 Office support and court services occupations,515,"50,000","56,800",Nunavut
14100 General office support workers,340,"43,200","55,600",Nunavut
14101 Receptionists,150,"61,600","59,000",Nunavut
14102 Personnel clerks,15,0,"70,000",Nunavut
14103 Court clerks and related court services occupations,10,0,"50,000",Nunavut
"1411 Survey, statistical and data entry occupations",80,"37,600","50,000",Nunavut
14110 Survey interviewers and statistical clerks,15,0,"36,000",Nunavut
14111 Data entry clerks,65,"41,600","52,000",Nunavut
14112 Desktop publishing operators and related occupations,0,0,0,Nunavut
"142 Financial, insurance and related administrative support workers",185,"89,000","82,000",Nunavut
"1420 Financial, insurance and related administrative support workers",185,"89,000","82,000",Nunavut
14200 Accounting and related clerks,170,"88,000","81,000",Nunavut
"14201 Banking, insurance and other financial clerks",0,0,0,Nunavut
14202 Collection clerks,10,0,"100,000",Nunavut
"143 Library, correspondence and other clerks",25,"91,000","90,000",Nunavut
"1430 Library, correspondence and other clerks",25,"91,000","90,000",Nunavut
14300 Library assistants and clerks,0,0,0,Nunavut
"14301 Correspondence, publication and regulatory clerks",20,"95,000","95,000",Nunavut
"144 Supply chain logistics, tracking and scheduling coordination occupations",80,"57,200","63,000",Nunavut
"1440 Supply chain logistics, tracking and scheduling coordination occupations",80,"57,200","63,000",Nunavut
14400 Shippers and receivers,25,"32,400","48,000",Nunavut
14401 Storekeepers and partspersons,15,0,"60,000",Nunavut
14402 Production logistics workers,0,0,0,Nunavut
14403 Purchasing and inventory control workers,20,0,"40,000",Nunavut
14404 Dispatchers,25,"86,000","90,000",Nunavut
14405 Transportation route and crew schedulers,10,0,"80,000",Nunavut
2 Natural and applied sciences and related occupations,465,"118,000","112,000",Nunavut
"20 Specialized middle management occupations in engineering, architecture, science and information systems",55,"144,000","148,000",Nunavut
"200 Specialized middle management occupations in engineering, architecture, science and information systems",55,"144,000","148,000",Nunavut
"2001 Managers in engineering, architecture, science and information systems",55,"144,000","148,000",Nunavut
20010 Engineering managers,10,0,"160,000",Nunavut
20011 Architecture and science managers,10,0,"140,000",Nunavut
20012 Computer and information systems managers,35,"148,000","150,000",Nunavut
21 Professional occupations in natural and applied sciences,185,"121,000","122,000",Nunavut
211 Professional occupations in natural sciences,75,"121,000","120,000",Nunavut
2110 Physical science professionals,15,0,"120,000",Nunavut
21100 Physicists and astronomers,0,0,0,Nunavut
21101 Chemists,0,0,0,Nunavut
21102 Geoscientists and oceanographers,15,0,"120,000",Nunavut
