Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"6,977,855","44,400","58,350",Ontario
0 Legislative and senior management occupations,"89,245","126,000","199,000",Ontario
00 Legislative and senior managers,"89,245","126,000","199,000",Ontario
000 Legislative and senior managers,"89,245","126,000","199,000",Ontario
0001 Legislative and senior managers,"89,245","126,000","199,000",Ontario
00010 Legislators,"2,225","56,800","74,900",Ontario
00018 Seniors managers - public and private sector,"87,020","128,000","202,200",Ontario
"1 Business, finance and administration occupations","1,298,165","53,200","68,700",Ontario
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","198,840","91,000","115,400",Ontario
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","198,840","91,000","115,400",Ontario
1001 Administrative services managers,"83,495","94,000","112,300",Ontario
10010 Financial managers,"31,610","100,000","121,400",Ontario
10011 Human resources managers,"21,765","94,000","105,100",Ontario
10012 Purchasing managers,"11,965","96,000","104,200",Ontario
10019 Other administrative services managers,"18,150","78,500","110,400",Ontario
1002 Managers in financial and business services,"110,555","88,000","118,300",Ontario
"10020 Insurance, real estate and financial brokerage managers","16,380","102,000","151,400",Ontario
"10021 Banking, credit and other investment managers","37,765","98,000","141,000",Ontario
"10022 Advertising, marketing and public relations managers","46,630","80,000","95,200",Ontario
10029 Other business services managers,"9,780","66,500","86,200",Ontario
1003 Managers in communication (except broadcasting),"4,790","95,000","103,800",Ontario
10030 Telecommunication carriers managers,"4,790","95,000","103,800",Ontario
11 Professional occupations in finance and business,"315,845","68,500","94,000",Ontario
111 Professional occupations in finance,"166,310","72,000","107,600",Ontario
"1110 Auditors, accountants and investment professionals","166,310","72,000","107,600",Ontario
11100 Financial auditors and accountants,"77,855","72,000","94,100",Ontario
11101 Financial and investment analysts,"29,665","80,000","134,400",Ontario
11102 Financial advisors,"38,885","68,000","111,400",Ontario
"11103 Securities agents, investment dealers and brokers","6,675","70,000","167,000",Ontario
11109 Other financial officers,"13,225","63,600","85,400",Ontario
112 Professional occupations in business,"149,535","65,000","78,800",Ontario
1120 Human resources and business service professionals,"149,535","65,000","78,800",Ontario
11200 Human resources professionals,"38,305","72,500","83,400",Ontario
11201 Professional occupations in business management consulting,"46,110","75,000","96,100",Ontario
"11202 Professional occupations in advertising, marketing and public relations","65,120","52,800","63,900",Ontario
12 Administrative and financial supervisors and specialized administrative occupations,"184,455","55,600","58,700",Ontario
120 Administrative and financial supervisors,"27,300","60,000","62,800",Ontario
1201 Administrative and financial supervisors,"27,300","60,000","62,800",Ontario
"12010 Supervisors, general office and administrative support workers","6,560","60,400","61,950",Ontario
"12011 Supervisors, finance and insurance office workers","7,325","65,000","69,100",Ontario
"12012 Supervisors, library, correspondence and related information workers",945,"57,200","55,400",Ontario
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","12,470","56,800","60,100",Ontario
121 Specialized administrative occupations,"84,135","59,600","63,000",Ontario
1210 Administrative and regulatory occupations,"74,980","60,800","65,100",Ontario
12100 Executive assistants,"19,525","64,500","70,600",Ontario
12101 Human resources and recruitment officers,"16,165","56,000","64,300",Ontario
12102 Procurement and purchasing agents and officers,"17,665","65,500","72,300",Ontario
12103 Conference and event planners,"9,735","38,000","42,360",Ontario
12104 Employment insurance and revenue officers,"11,885","62,400","64,800",Ontario
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","9,155","45,600","46,120",Ontario
"12110 Court reporters, medical transcriptionists and related occupations","3,215","19,400","26,000",Ontario
12111 Health information management occupations,"2,275","58,800","60,900",Ontario
12112 Records management technicians,780,"55,200","58,800",Ontario
12113 Statistical officers and related research support occupations,"2,880","53,600","53,500",Ontario
"122 Accounting, insurance and related business administrative occupations","73,025","47,200","52,250",Ontario
"1220 Accounting, insurance and related business administrative occupations","73,025","47,200","52,250",Ontario
12200 Accounting technicians and bookkeepers,"46,970","34,400","41,280",Ontario
12201 Insurance adjusters and claims examiners,"12,320","65,500","67,400",Ontario
12202 Insurance underwriters,"8,660","68,500","77,900",Ontario
"12203 Assessors, business valuators and appraisers","5,080","60,800","73,400",Ontario
13 Administrative occupations and transportation logistics occupations,"272,060","44,800","47,000",Ontario
131 Administrative occupations,"249,585","44,400","46,400",Ontario
"1310 Administrative, property and payroll officers","134,345","48,000","51,250",Ontario
13100 Administrative officers,"103,145","46,800","50,280",Ontario
13101 Property administrators,"15,745","44,400","52,600",Ontario
13102 Payroll administrators,"15,455","56,000","56,500",Ontario
"1311 Office administrative assistants - general, legal and medical","115,235","40,400","40,760",Ontario
13110 Administrative assistants,"83,140","40,000","39,880",Ontario
13111 Legal administrative assistants,"18,130","48,800","47,920",Ontario
13112 Medical administrative assistants,"13,965","36,800","36,560",Ontario
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"22,480","50,400","53,350",Ontario
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"22,480","50,400","53,350",Ontario
"13200 Customs, ship and other brokers","2,395","46,800","55,400",Ontario
13201 Production and transportation logistics coordinators,"20,085","50,800","53,100",Ontario
14 Administrative and financial support and supply chain logistics occupations,"326,965","37,600","39,680",Ontario
"141 Office, court, and data support occupations","149,030","30,000","33,480",Ontario
1410 Office support and court services occupations,"128,285","29,800","33,440",Ontario
14100 General office support workers,"69,730","36,000","37,560",Ontario
14101 Receptionists,"52,185","22,400","25,800",Ontario
14102 Personnel clerks,"3,895","49,200","48,480",Ontario
14103 Court clerks and related court services occupations,"2,475","56,000","55,500",Ontario
"1411 Survey, statistical and data entry occupations","20,750","30,400","33,680",Ontario
14110 Survey interviewers and statistical clerks,"3,975","20,200","30,040",Ontario
14111 Data entry clerks,"16,495","32,400","34,240",Ontario
14112 Desktop publishing operators and related occupations,275,"54,800","52,400",Ontario
"142 Financial, insurance and related administrative support workers","78,850","45,200","47,880",Ontario
"1420 Financial, insurance and related administrative support workers","78,850","45,200","47,880",Ontario
14200 Accounting and related clerks,"63,400","44,800","47,280",Ontario
"14201 Banking, insurance and other financial clerks","9,020","48,400","53,850",Ontario
14202 Collection clerks,"6,430","44,800","45,520",Ontario
"143 Library, correspondence and other clerks","12,425","37,200","39,440",Ontario
"1430 Library, correspondence and other clerks","12,425","37,200","39,440",Ontario
14300 Library assistants and clerks,"5,395","18,200","25,020",Ontario
"14301 Correspondence, publication and regulatory clerks","7,030","51,200","50,480",Ontario
"144 Supply chain logistics, tracking and scheduling coordination occupations","86,660","40,800","42,960",Ontario
"1440 Supply chain logistics, tracking and scheduling coordination occupations","86,660","40,800","42,960",Ontario
14400 Shippers and receivers,"44,730","38,000","38,840",Ontario
14401 Storekeepers and partspersons,"10,965","40,800","43,440",Ontario
14402 Production logistics workers,"3,340","52,400","55,800",Ontario
14403 Purchasing and inventory control workers,"15,655","40,800","41,920",Ontario
14404 Dispatchers,"10,455","52,400","55,800",Ontario
14405 Transportation route and crew schedulers,"1,510","54,400","56,000",Ontario
2 Natural and applied sciences and related occupations,"661,175","78,500","86,900",Ontario
"20 Specialized middle management occupations in engineering, architecture, science and information systems","62,270","116,000","134,600",Ontario
"200 Specialized middle management occupations in engineering, architecture, science and information systems","62,270","116,000","134,600",Ontario
"2001 Managers in engineering, architecture, science and information systems","62,270","116,000","134,600",Ontario
20010 Engineering managers,"13,855","120,000","139,200",Ontario
20011 Architecture and science managers,"6,500","103,000","118,600",Ontario
20012 Computer and information systems managers,"41,915","117,000","135,400",Ontario
21 Professional occupations in natural and applied sciences,"402,270","84,000","90,800",Ontario
211 Professional occupations in natural sciences,"34,045","72,500","78,700",Ontario
2110 Physical science professionals,"11,515","72,500","82,400",Ontario
21100 Physicists and astronomers,"1,115","116,000","126,600",Ontario
21101 Chemists,"7,415","67,000","71,400",Ontario
21102 Geoscientists and oceanographers,"2,550","86,000","94,700",Ontario
21103 Meteorologists and climatologists,200,"97,000","90,000",Ontario
21109 Other professional occupations in physical sciences,240,"78,500","80,000",Ontario
2111 Life science professionals,"15,355","69,500","77,500",Ontario
21110 Biologists and related scientists,"13,515","70,500","79,400",Ontario
21111 Forestry professionals,640,"73,000","74,400",Ontario
"21112 Agricultural representatives, consultants and specialists","1,200","52,000","57,900",Ontario
2112 Public and environmental health and safety professionals,"7,180","79,000","75,400",Ontario
21120 Public and environmental health and safety professionals,"7,180","79,000","75,400",Ontario
212 Professional occupations in applied sciences (except engineering),"269,285","83,000","88,800",Ontario
"2120 Architects, urban planners and land surveyors","18,840","75,000","83,200",Ontario
21200 Architects,"7,890","76,000","90,700",Ontario
21201 Landscape architects,875,"68,500","74,800",Ontario
21202 Urban and land use planners,"8,080","78,500","81,600",Ontario
21203 Land surveyors,"1,985","60,400","63,250",Ontario
"2121 Mathematicians, statisticians, actuaries and data scientists","14,665","91,000","105,200",Ontario
"21210 Mathematicians, statisticians and actuaries","6,635","94,000","119,000",Ontario
21211 Data scientists,"8,035","88,000","93,800",Ontario
