Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"81,405","34,400","41,920",Prince Edward Island
0 Legislative and senior management occupations,815,"84,000","105,000",Prince Edward Island
00 Legislative and senior managers,815,"84,000","105,000",Prince Edward Island
000 Legislative and senior managers,815,"84,000","105,000",Prince Edward Island
0001 Legislative and senior managers,815,"84,000","105,000",Prince Edward Island
00010 Legislators,40,"82,000","80,000",Prince Edward Island
00018 Seniors managers - public and private sector,775,"85,000","106,200",Prince Edward Island
"1 Business, finance and administration occupations","12,295","46,400","48,880",Prince Edward Island
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","1,225","67,500","74,000",Prince Edward Island
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","1,225","67,500","74,000",Prince Edward Island
1001 Administrative services managers,680,"71,000","79,400",Prince Edward Island
10010 Financial managers,230,"65,000","74,000",Prince Edward Island
10011 Human resources managers,205,"76,500","80,000",Prince Edward Island
10012 Purchasing managers,65,"62,800","64,000",Prince Edward Island
10019 Other administrative services managers,185,"76,500","91,000",Prince Edward Island
1002 Managers in financial and business services,530,"61,600","66,400",Prince Edward Island
"10020 Insurance, real estate and financial brokerage managers",65,"56,400","66,000",Prince Edward Island
"10021 Banking, credit and other investment managers",125,"89,000","92,000",Prince Edward Island
"10022 Advertising, marketing and public relations managers",265,"55,200","58,400",Prince Edward Island
10029 Other business services managers,85,"50,800","50,000",Prince Edward Island
1003 Managers in communication (except broadcasting),0,0,0,Prince Edward Island
10030 Telecommunication carriers managers,0,0,0,Prince Edward Island
11 Professional occupations in finance and business,"1,960","62,800","69,500",Prince Edward Island
111 Professional occupations in finance,"1,000","65,000","77,800",Prince Edward Island
"1110 Auditors, accountants and investment professionals","1,000","65,000","77,800",Prince Edward Island
11100 Financial auditors and accountants,575,"66,500","70,800",Prince Edward Island
11101 Financial and investment analysts,70,"60,800","88,000",Prince Edward Island
11102 Financial advisors,305,"67,500","97,000",Prince Edward Island
"11103 Securities agents, investment dealers and brokers",25,0,"22,000",Prince Edward Island
11109 Other financial officers,30,"45,200","48,000",Prince Edward Island
112 Professional occupations in business,960,"61,200","60,800",Prince Edward Island
1120 Human resources and business service professionals,960,"61,200","60,800",Prince Edward Island
11200 Human resources professionals,365,"70,500","69,600",Prince Edward Island
11201 Professional occupations in business management consulting,185,"63,600","64,000",Prince Edward Island
"11202 Professional occupations in advertising, marketing and public relations",405,"51,200","51,200",Prince Edward Island
12 Administrative and financial supervisors and specialized administrative occupations,"2,580","51,200","48,960",Prince Edward Island
120 Administrative and financial supervisors,210,"51,200","50,800",Prince Edward Island
1201 Administrative and financial supervisors,210,"51,200","50,800",Prince Edward Island
"12010 Supervisors, general office and administrative support workers",70,"52,400","48,000",Prince Edward Island
"12011 Supervisors, finance and insurance office workers",35,"51,600","56,000",Prince Edward Island
"12012 Supervisors, library, correspondence and related information workers",10,0,"32,000",Prince Edward Island
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",85,"49,600","54,000",Prince Edward Island
121 Specialized administrative occupations,"1,425","55,200","52,100",Prince Edward Island
1210 Administrative and regulatory occupations,"1,340","55,200","52,500",Prince Edward Island
12100 Executive assistants,165,"47,200","43,200",Prince Edward Island
12101 Human resources and recruitment officers,115,"52,400","51,000",Prince Edward Island
12102 Procurement and purchasing agents and officers,150,"60,000","61,000",Prince Edward Island
12103 Conference and event planners,90,"16,800","30,000",Prince Edward Island
12104 Employment insurance and revenue officers,825,"57,600","55,600",Prince Edward Island
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",80,"46,000","46,000",Prince Edward Island
"12110 Court reporters, medical transcriptionists and related occupations",35,"20,400","26,000",Prince Edward Island
12111 Health information management occupations,25,0,"72,000",Prince Edward Island
12112 Records management technicians,0,0,0,Prince Edward Island
12113 Statistical officers and related research support occupations,0,0,0,Prince Edward Island
"122 Accounting, insurance and related business administrative occupations",955,"40,400","43,900",Prince Edward Island
"1220 Accounting, insurance and related business administrative occupations",955,"40,400","43,900",Prince Edward Island
12200 Accounting technicians and bookkeepers,785,"34,800","39,000",Prince Edward Island
12201 Insurance adjusters and claims examiners,100,"61,200","66,000",Prince Edward Island
12202 Insurance underwriters,0,0,0,Prince Edward Island
"12203 Assessors, business valuators and appraisers",55,"68,500","70,000",Prince Edward Island
13 Administrative occupations and transportation logistics occupations,"3,025","44,400","41,720",Prince Edward Island
131 Administrative occupations,"2,940","44,400","41,880",Prince Edward Island
"1310 Administrative, property and payroll officers","1,340","46,400","45,520",Prince Edward Island
13100 Administrative officers,940,"43,600","44,500",Prince Edward Island
13101 Property administrators,130,"29,000","37,500",Prince Edward Island
13102 Payroll administrators,270,"54,400","52,800",Prince Edward Island
"1311 Office administrative assistants - general, legal and medical","1,605","43,200","38,840",Prince Edward Island
13110 Administrative assistants,"1,180","43,600","39,400",Prince Edward Island
13111 Legal administrative assistants,145,"40,000","38,000",Prince Edward Island
13112 Medical administrative assistants,275,"42,400","36,800",Prince Edward Island
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,85,"29,800","37,000",Prince Edward Island
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,85,"29,800","37,000",Prince Edward Island
"13200 Customs, ship and other brokers",0,0,0,Prince Edward Island
