Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"4,320,010","40,400","50,320",Quebec
0 Legislative and senior management occupations,"74,440","79,500","128,200",Quebec
00 Legislative and senior managers,"74,440","79,500","128,200",Quebec
000 Legislative and senior managers,"74,440","79,500","128,200",Quebec
0001 Legislative and senior managers,"74,440","79,500","128,200",Quebec
00010 Legislators,"2,030","60,800","73,500",Quebec
00018 Seniors managers - public and private sector,"72,410","80,000","129,600",Quebec
"1 Business, finance and administration occupations","775,115","46,800","57,350",Quebec
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","89,590","86,000","100,600",Quebec
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","89,590","86,000","100,600",Quebec
1001 Administrative services managers,"49,880","87,000","99,800",Quebec
10010 Financial managers,"21,390","88,000","106,200",Quebec
10011 Human resources managers,"11,075","92,000","97,800",Quebec
10012 Purchasing managers,"5,885","89,000","95,100",Quebec
10019 Other administrative services managers,"11,530","76,500","91,900",Quebec
1002 Managers in financial and business services,"37,425","84,000","101,800",Quebec
"10020 Insurance, real estate and financial brokerage managers","4,305","95,000","117,300",Quebec
"10021 Banking, credit and other investment managers","14,840","95,000","118,200",Quebec
"10022 Advertising, marketing and public relations managers","15,355","73,000","85,000",Quebec
10029 Other business services managers,"2,920","72,000","83,400",Quebec
1003 Managers in communication (except broadcasting),"2,280","91,000","100,100",Quebec
10030 Telecommunication carriers managers,"2,280","91,000","100,100",Quebec
11 Professional occupations in finance and business,"174,405","62,400","78,000",Quebec
111 Professional occupations in finance,"93,195","63,200","87,400",Quebec
"1110 Auditors, accountants and investment professionals","93,195","63,200","87,400",Quebec
11100 Financial auditors and accountants,"45,200","60,000","72,500",Quebec
11101 Financial and investment analysts,"15,840","75,000","140,200",Quebec
11102 Financial advisors,"22,815","61,600","84,000",Quebec
"11103 Securities agents, investment dealers and brokers","2,120","52,800","101,800",Quebec
11109 Other financial officers,"7,225","58,800","72,000",Quebec
112 Professional occupations in business,"81,205","61,600","67,300",Quebec
1120 Human resources and business service professionals,"81,205","61,600","67,300",Quebec
11200 Human resources professionals,"25,790","69,500","73,800",Quebec
11201 Professional occupations in business management consulting,"23,330","70,000","76,800",Quebec
"11202 Professional occupations in advertising, marketing and public relations","32,085","49,600","55,050",Quebec
12 Administrative and financial supervisors and specialized administrative occupations,"112,955","51,200","54,300",Quebec
120 Administrative and financial supervisors,"14,005","59,200","62,450",Quebec
1201 Administrative and financial supervisors,"14,005","59,200","62,450",Quebec
"12010 Supervisors, general office and administrative support workers","4,095","66,000","70,700",Quebec
"12011 Supervisors, finance and insurance office workers","3,880","61,600","63,150",Quebec
"12012 Supervisors, library, correspondence and related information workers",410,"53,200","59,000",Quebec
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","5,625","53,600","56,250",Quebec
121 Specialized administrative occupations,"55,450","54,400","57,350",Quebec
1210 Administrative and regulatory occupations,"49,755","55,600","58,800",Quebec
