"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","British Columbia i11",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14","2,497,240","43,200","55,100"
"0 Legislative and senior management occupations","29,615","108,000","167,600"
"00 Legislative and senior managers","29,615","108,000","167,600"
"000 Legislative and senior managers","29,615","108,000","167,600"
"0001 Legislative and senior managers","29,615","108,000","167,600"
"00010 Legislators","1,230","58,000","67,600"
"00018 Seniors managers - public and private sector 15","28,385","111,000","172,000"
"1 Business, finance and administration occupations","432,880","48,800","59,000"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","56,025","79,500","92,900"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","56,025","79,500","92,900"
"1001 Administrative services managers","24,375","82,000","94,200"
"10010 Financial managers","8,245","90,000","100,400"
"10011 Human resources managers","6,275","87,000","94,600"
"10012 Purchasing managers","3,150","87,000","96,300"
"10019 Other administrative services managers","6,705","64,500","85,300"
"1002 Managers in financial and business services","30,420","76,000","91,700"
"10020 Insurance, real estate and financial brokerage managers","6,150","86,000","119,300"
"10021 Banking, credit and other investment managers","8,405","87,000","103,300"
"10022 Advertising, marketing and public relations managers","12,815","66,000","74,900"
"10029 Other business services managers","3,050","65,500","74,100"
"1003 Managers in communication (except broadcasting)","1,230","93,000","95,000"
"10030 Telecommunication carriers managers","1,230","93,000","95,000"
"11 Professional occupations in finance and business","93,350","62,400","83,300"
"111 Professional occupations in finance","52,300","68,000","97,400"
"1110 Auditors, accountants and investment professionals","52,300","68,000","97,400"
"11100 Financial auditors and accountants","29,120","67,500","80,400"
"11101 Financial and investment analysts","4,845","83,000","175,200"
"11102 Financial advisors","12,565","68,000","113,100"
"11103 Securities agents, investment dealers and brokers","1,825","49,600","91,100"
"11109 Other financial officers","3,945","64,000","80,400"
"112 Professional occupations in business","41,050","56,400","65,300"
"1120 Human resources and business service professionals","41,050","56,400","65,300"
"11200 Human resources professionals","9,530","70,500","78,700"
"11201 Professional occupations in business management consulting","11,545","64,500","78,400"
"11202 Professional occupations in advertising, marketing and public relations","19,980","45,200","51,350"
"12 Administrative and financial supervisors and specialized administrative occupations","65,810","50,000","52,250"
"120 Administrative and financial supervisors","8,765","57,600","61,250"
"1201 Administrative and financial supervisors","8,765","57,600","61,250"
"12010 Supervisors, general office and administrative support workers","2,555","61,600","66,200"
"12011 Supervisors, finance and insurance office workers","2,040","62,800","64,400"
"12012 Supervisors, library, correspondence and related information workers","470","28,600","36,000"
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","3,695","53,600","59,300"
"121 Specialized administrative occupations","25,000","56,000","58,250"
"1210 Administrative and regulatory occupations","22,430","57,600","60,250"
"12100 Executive assistants","5,955","58,400","63,700"
"12101 Human resources and recruitment officers","3,925","56,000","63,350"
"12102 Procurement and purchasing agents and officers","5,390","62,000","66,100"
"12103 Conference and event planners","3,250","37,600","39,920"
"12104 Employment insurance and revenue officers","3,915","59,600","60,800"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","2,570","33,200","40,720"
"12110 Court reporters, medical transcriptionists and related occupations","1,310","16,600","26,160"
"12111 Health information management occupations","460","67,500","61,400"
"12112 Records management technicians","230","58,400","63,200"
"12113 Statistical officers and related research support occupations","570","43,200","48,400"
"122 Accounting, insurance and related business administrative occupations","32,040","40,400","45,080"
"1220 Accounting, insurance and related business administrative occupations","32,040","40,400","45,080"
"12200 Accounting technicians and bookkeepers","24,235","31,800","37,200"
"12201 Insurance adjusters and claims examiners","4,270","70,500","69,900"
"12202 Insurance underwriters","1,770","66,000","72,900"
"12203 Assessors, business valuators and appraisers","1,775","64,000","65,800"
"13 Administrative occupations and transportation logistics occupations","98,720","44,000","45,240"
"131 Administrative occupations","92,255","43,600","44,680"
"1310 Administrative, property and payroll officers","50,010","47,600","49,640"
"13100 Administrative officers","36,255","46,800","48,680"
"13101 Property administrators","7,815","44,400","50,120"
"13102 Payroll administrators","5,950","54,400","54,900"
"1311 Office administrative assistants - general, legal and medical","42,240","39,600","38,800"
"13110 Administrative assistants","29,640","38,400","37,680"
"13111 Legal administrative assistants","8,005","44,800","44,160"
"13112 Medical administrative assistants","4,595","36,800","36,840"
"132 Transportation and production logistics coordinators and customs brokers and related broker occupations","6,470","50,000","53,000"
"1320 Transportation and production logistics coordinators and customs brokers and related broker occupations","6,470","50,000","53,000"
"13200 Customs, ship and other brokers","710","50,400","54,500"
