"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","New Brunswick i5",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14","382,660","36,800","45,080"
"0 Legislative and senior management occupations","3,495","87,000","123,200"
"00 Legislative and senior managers","3,495","87,000","123,200"
"000 Legislative and senior managers","3,495","87,000","123,200"
"0001 Legislative and senior managers","3,495","87,000","123,200"
"00010 Legislators","215","53,200","65,000"
"00018 Seniors managers - public and private sector 15","3,285","90,000","127,000"
"1 Business, finance and administration occupations","58,730","45,200","50,200"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","6,035","73,500","80,700"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","6,035","73,500","80,700"
"1001 Administrative services managers","3,100","74,000","82,800"
"10010 Financial managers","1,090","73,000","86,400"
"10011 Human resources managers","780","80,000","86,200"
"10012 Purchasing managers","410","80,000","91,600"
"10019 Other administrative services managers","820","64,500","70,200"
"1002 Managers in financial and business services","2,740","71,000","77,400"
"10020 Insurance, real estate and financial brokerage managers","400","88,000","94,000"
"10021 Banking, credit and other investment managers","975","76,500","83,600"
"10022 Advertising, marketing and public relations managers","875","67,000","71,800"
"10029 Other business services managers","490","56,400","61,600"
"1003 Managers in communication (except broadcasting)","195","83,000","94,000"
"10030 Telecommunication carriers managers","195","83,000","94,000"
"11 Professional occupations in finance and business","10,695","61,200","70,200"
"111 Professional occupations in finance","5,190","61,200","78,600"
"1110 Auditors, accountants and investment professionals","5,190","61,200","78,600"
"11100 Financial auditors and accountants","2,735","64,000","70,300"
"11101 Financial and investment analysts","550","62,800","73,200"
"11102 Financial advisors","1,445","57,600","101,400"
"11103 Securities agents, investment dealers and brokers","170","45,600","57,600"
"11109 Other financial officers","290","59,200","66,000"
"112 Professional occupations in business","5,505","61,200","62,300"
"1120 Human resources and business service professionals","5,505","61,200","62,300"
"11200 Human resources professionals","2,790","63,600","64,600"
"11201 Professional occupations in business management consulting","1,250","62,800","70,800"
"11202 Professional occupations in advertising, marketing and public relations","1,470","49,200","50,800"
"12 Administrative and financial supervisors and specialized administrative occupations","8,910","49,600","49,960"
"120 Administrative and financial supervisors","1,295","53,200","57,500"
"1201 Administrative and financial supervisors","1,295","53,200","57,500"
"12010 Supervisors, general office and administrative support workers","395","51,200","58,200"
"12011 Supervisors, finance and insurance office workers","360","57,200","62,000"
"12012 Supervisors, library, correspondence and related information workers","70","29,800","39,000"
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","465","52,400","56,400"
"121 Specialized administrative occupations","3,865","53,600","52,250"
"1210 Administrative and regulatory occupations","3,340","55,200","54,000"
"12100 Executive assistants","670","53,600","57,900"
"12101 Human resources and recruitment officers","555","51,600","51,000"
"12102 Procurement and purchasing agents and officers","795","56,800","57,300"
"12103 Conference and event planners","205","28,600","34,000"
"12104 Employment insurance and revenue officers","1,120","57,200","54,500"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","525","44,400","41,000"
"12110 Court reporters, medical transcriptionists and related occupations","275","36,800","31,600"
"12111 Health information management occupations","135","60,800","59,000"
"12112 Records management technicians","45","44,400","44,000"
"12113 Statistical officers and related research support occupations","75","32,400","42,000"
"122 Accounting, insurance and related business administrative occupations","3,760","43,200","45,040"
"1220 Accounting, insurance and related business administrative occupations","3,760","43,200","45,040"
"12200 Accounting technicians and bookkeepers","2,395","35,200","37,760"
"12201 Insurance adjusters and claims examiners","795","50,000","55,300"
"12202 Insurance underwriters","330","56,800","56,400"
"12203 Assessors, business valuators and appraisers","235","61,600","68,500"
"13 Administrative occupations and transportation logistics occupations","15,390","42,400","41,640"
"131 Administrative occupations","14,370","42,000","41,200"
"1310 Administrative, property and payroll officers","5,980","46,000","47,880"
"13100 Administrative officers","4,460","45,600","48,240"
"13101 Property administrators","530","35,200","43,400"
"13102 Payroll administrators","990","50,000","48,800"
"1311 Office administrative assistants - general, legal and medical","8,390","39,200","36,440"
"13110 Administrative assistants","6,740","38,800","36,200"
"13111 Legal administrative assistants","620","40,000","37,800"
"13112 Medical administrative assistants","1,030","39,200","37,200"
"132 Transportation and production logistics coordinators and customs brokers and related broker occupations","1,020","46,000","47,900"
"1320 Transportation and production logistics coordinators and customs brokers and related broker occupations","1,020","46,000","47,900"
"13200 Customs, ship and other brokers","245","38,400","37,600"
"13201 Production and transportation logistics coordinators","770","48,000","51,200"
"14 Administrative and financial support and supply chain logistics occupations","17,700","36,000","35,160"
