"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Northwest Territories i13",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14","21,505","71,000","76,200"
"0 Legislative and senior management occupations","400","127,000","138,500"
"00 Legislative and senior managers","400","127,000","138,500"
"000 Legislative and senior managers","400","127,000","138,500"
"0001 Legislative and senior managers","400","127,000","138,500"
"00010 Legislators","70","123,000","108,000"
"00018 Seniors managers - public and private sector 15","330","134,000","145,000"
"1 Business, finance and administration occupations","4,020","80,000","78,900"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","505","121,000","114,400"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","505","121,000","114,400"
"1001 Administrative services managers","315","125,000","117,000"
"10010 Financial managers","115","126,000","112,000"
"10011 Human resources managers","80","128,000","132,000"
"10012 Purchasing managers","25","109,000","110,000"
"10019 Other administrative services managers","95","111,000","114,000"
"1002 Managers in financial and business services","180","110,000","109,000"
"10020 Insurance, real estate and financial brokerage managers","30","0","130,000"
"10021 Banking, credit and other investment managers","35","130,000","120,000"
"10022 Advertising, marketing and public relations managers","80","107,000","94,000"
"10029 Other business services managers","30","115,000","120,000"
"1003 Managers in communication (except broadcasting)","0","0","0"
"10030 Telecommunication carriers managers","0","0","0"
"11 Professional occupations in finance and business","545","95,000","90,800"
"111 Professional occupations in finance","200","89,000","91,000"
"1110 Auditors, accountants and investment professionals","200","89,000","91,000"
"11100 Financial auditors and accountants","115","100,000","100,000"
"11101 Financial and investment analysts","40","68,000","72,000"
"11102 Financial advisors","50","73,000","84,000"
"11103 Securities agents, investment dealers and brokers","0","0","0"
"11109 Other financial officers","0","0","0"
"112 Professional occupations in business","340","96,000","90,800"
"1120 Human resources and business service professionals","340","96,000","90,800"
"11200 Human resources professionals","135","98,000","88,000"
"11201 Professional occupations in business management consulting","75","117,000","112,000"
"11202 Professional occupations in advertising, marketing and public relations","130","87,000","80,000"
"12 Administrative and financial supervisors and specialized administrative occupations","690","86,000","82,000"
"120 Administrative and financial supervisors","75","74,500","74,000"
"1201 Administrative and financial supervisors","75","74,500","74,000"
"12010 Supervisors, general office and administrative support workers","20","0","60,000"
"12011 Supervisors, finance and insurance office workers","20","0","90,000"
"12012 Supervisors, library, correspondence and related information workers","10","0","50,000"
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","25","90,000","90,000"
"121 Specialized administrative occupations","365","87,000","84,000"
"1210 Administrative and regulatory occupations","325","87,000","84,800"
"12100 Executive assistants","110","80,000","80,000"
"12101 Human resources and recruitment officers","55","106,000","96,000"
"12102 Procurement and purchasing agents and officers","100","95,000","94,000"
"12103 Conference and event planners","15","0","70,000"
"12104 Employment insurance and revenue officers","40","78,500","64,000"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","40","89,000","76,000"
"12110 Court reporters, medical transcriptionists and related occupations","0","0","0"
"12111 Health information management occupations","25","75,000","60,000"
"12112 Records management technicians","0","0","0"
"12113 Statistical officers and related research support occupations","0","0","0"
"122 Accounting, insurance and related business administrative occupations","255","86,000","81,000"
"1220 Accounting, insurance and related business administrative occupations","255","86,000","81,000"
"12200 Accounting technicians and bookkeepers","220","86,000","82,000"
"12201 Insurance adjusters and claims examiners","25","0","80,000"
"12202 Insurance underwriters","0","0","0"
"12203 Assessors, business valuators and appraisers","0","0","0"
"13 Administrative occupations and transportation logistics occupations","1,040","74,500","74,200"
"131 Administrative occupations","1,005","74,500","73,800"
"1310 Administrative, property and payroll officers","620","87,000","84,000"
"13100 Administrative officers","470","86,000","82,000"
"13101 Property administrators","80","91,000","92,000"
"13102 Payroll administrators","80","95,000","88,000"
"1311 Office administrative assistants - general, legal and medical","385","60,400","57,200"
"13110 Administrative assistants","330","60,800","57,600"
"13111 Legal administrative assistants","35","38,400","52,000"
"13112 Medical administrative assistants","20","73,000","60,000"
"132 Transportation and production logistics coordinators and customs brokers and related broker occupations","35","89,000","85,000"
"1320 Transportation and production logistics coordinators and customs brokers and related broker occupations","35","89,000","85,000"
"13200 Customs, ship and other brokers","0","0","0"
"13201 Production and transportation logistics coordinators","35","89,000","85,000"
"14 Administrative and financial support and supply chain logistics occupations","1,245","60,800","61,700"
"141 Office, court, and data support occupations","700","44,800","51,500"
"1410 Office support and court services occupations","615","43,600","50,600"
"14100 General office support workers","325","49,600","53,800"
"14101 Receptionists","235","34,000","43,200"
"14102 Personnel clerks","20","50,800","52,000"
