"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Nova Scotia i4",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14","475,145","38,000","47,040"
"0 Legislative and senior management occupations","4,855","99,000","150,800"
"00 Legislative and senior managers","4,855","99,000","150,800"
"000 Legislative and senior managers","4,855","99,000","150,800"
"0001 Legislative and senior managers","4,855","99,000","150,800"
"00010 Legislators","350","50,400","72,400"
"00018 Seniors managers - public and private sector 15","4,505","102,000","156,800"
"1 Business, finance and administration occupations","73,000","44,800","52,350"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","8,810","75,500","84,900"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","8,810","75,500","84,900"
"1001 Administrative services managers","4,280","78,500","85,900"
"10010 Financial managers","1,565","78,000","91,200"
"10011 Human resources managers","1,125","87,000","87,400"
"10012 Purchasing managers","585","79,500","84,400"
"10019 Other administrative services managers","1,005","70,000","77,000"
"1002 Managers in financial and business services","4,305","73,000","83,100"
"10020 Insurance, real estate and financial brokerage managers","770","86,000","104,400"
"10021 Banking, credit and other investment managers","1,345","81,000","87,900"
"10022 Advertising, marketing and public relations managers","1,715","68,000","72,600"
"10029 Other business services managers","470","50,800","72,800"
"1003 Managers in communication (except broadcasting)","230","81,000","98,000"
"10030 Telecommunication carriers managers","230","81,000","98,000"
"11 Professional occupations in finance and business","13,745","60,400","74,500"
"111 Professional occupations in finance","7,275","63,200","86,400"
"1110 Auditors, accountants and investment professionals","7,275","63,200","86,400"
"11100 Financial auditors and accountants","3,945","65,000","76,800"
"11101 Financial and investment analysts","830","59,600","101,000"
"11102 Financial advisors","1,845","66,000","107,100"
"11103 Securities agents, investment dealers and brokers","145","53,200","98,000"
"11109 Other financial officers","510","55,200","58,200"
"112 Professional occupations in business","6,475","58,000","61,150"
"1120 Human resources and business service professionals","6,475","58,000","61,150"
"11200 Human resources professionals","2,065","69,000","70,500"
"11201 Professional occupations in business management consulting","1,560","62,000","66,700"
"11202 Professional occupations in advertising, marketing and public relations","2,845","47,200","51,300"
"12 Administrative and financial supervisors and specialized administrative occupations","10,815","48,800","50,840"
"120 Administrative and financial supervisors","1,440","54,400","70,000"
"1201 Administrative and financial supervisors","1,440","54,400","70,000"
"12010 Supervisors, general office and administrative support workers","425","55,200","52,000"
"12011 Supervisors, finance and insurance office workers","355","58,000","60,400"
"12012 Supervisors, library, correspondence and related information workers","110","40,400","38,500"
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","550","52,800","96,400"
"121 Specialized administrative occupations","4,845","52,800","51,850"
"1210 Administrative and regulatory occupations","4,215","54,400","54,200"
"12100 Executive assistants","970","56,000","57,900"
"12101 Human resources and recruitment officers","715","48,800","54,800"
"12102 Procurement and purchasing agents and officers","1,070","55,200","58,800"
"12103 Conference and event planners","505","18,800","29,100"
"12104 Employment insurance and revenue officers","945","58,400","58,200"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","635","41,600","36,200"
"12110 Court reporters, medical transcriptionists and related occupations","340","15,500","23,400"
"12111 Health information management occupations","130","55,200","55,000"
"12112 Records management technicians","60","49,600","62,000"
"12113 Statistical officers and related research support occupations","105","46,800","40,000"
"122 Accounting, insurance and related business administrative occupations","4,530","40,000","43,640"
"1220 Accounting, insurance and related business administrative occupations","4,530","40,000","43,640"
"12200 Accounting technicians and bookkeepers","2,925","26,200","32,600"
"12201 Insurance adjusters and claims examiners","845","64,000","63,700"
"12202 Insurance underwriters","505","60,800","65,600"
"12203 Assessors, business valuators and appraisers","265","60,000","60,000"
"13 Administrative occupations and transportation logistics occupations","18,170","41,200","41,240"
"131 Administrative occupations","17,325","40,800","40,920"
"1310 Administrative, property and payroll officers","8,690","43,200","45,200"
"13100 Administrative officers","6,100","43,600","45,560"
"13101 Property administrators","1,230","33,600","41,700"
"13102 Payroll administrators","1,365","47,600","46,920"
"1311 Office administrative assistants - general, legal and medical","8,635","38,400","36,600"
"13110 Administrative assistants","6,705","38,400","36,400"
"13111 Legal administrative assistants","975","43,200","41,600"
"13112 Medical administrative assistants","955","34,800","33,100"
"132 Transportation and production logistics coordinators and customs brokers and related broker occupations","845","46,000","47,500"
"1320 Transportation and production logistics coordinators and customs brokers and related broker occupations","845","46,000","47,500"
"13200 Customs, ship and other brokers","30","0","30,000"
"13201 Production and transportation logistics coordinators","815","46,400","48,200"
"14 Administrative and financial support and supply chain logistics occupations","21,460","34,800","35,040"
