"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Quebec i6",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14","4,320,010","40,400","50,320"
"0 Legislative and senior management occupations","74,440","79,500","128,200"
"00 Legislative and senior managers","74,440","79,500","128,200"
"000 Legislative and senior managers","74,440","79,500","128,200"
"0001 Legislative and senior managers","74,440","79,500","128,200"
"00010 Legislators","2,030","60,800","73,500"
"00018 Seniors managers - public and private sector 15","72,410","80,000","129,600"
"1 Business, finance and administration occupations","775,115","46,800","57,350"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","89,590","86,000","100,600"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","89,590","86,000","100,600"
"1001 Administrative services managers","49,880","87,000","99,800"
"10010 Financial managers","21,390","88,000","106,200"
"10011 Human resources managers","11,075","92,000","97,800"
"10012 Purchasing managers","5,885","89,000","95,100"
"10019 Other administrative services managers","11,530","76,500","91,900"
"1002 Managers in financial and business services","37,425","84,000","101,800"
"10020 Insurance, real estate and financial brokerage managers","4,305","95,000","117,300"
"10021 Banking, credit and other investment managers","14,840","95,000","118,200"
"10022 Advertising, marketing and public relations managers","15,355","73,000","85,000"
"10029 Other business services managers","2,920","72,000","83,400"
"1003 Managers in communication (except broadcasting)","2,280","91,000","100,100"
"10030 Telecommunication carriers managers","2,280","91,000","100,100"
"11 Professional occupations in finance and business","174,405","62,400","78,000"
"111 Professional occupations in finance","93,195","63,200","87,400"
"1110 Auditors, accountants and investment professionals","93,195","63,200","87,400"
"11100 Financial auditors and accountants","45,200","60,000","72,500"
"11101 Financial and investment analysts","15,840","75,000","140,200"
"11102 Financial advisors","22,815","61,600","84,000"
"11103 Securities agents, investment dealers and brokers","2,120","52,800","101,800"
"11109 Other financial officers","7,225","58,800","72,000"
"112 Professional occupations in business","81,205","61,600","67,300"
"1120 Human resources and business service professionals","81,205","61,600","67,300"
"11200 Human resources professionals","25,790","69,500","73,800"
"11201 Professional occupations in business management consulting","23,330","70,000","76,800"
"11202 Professional occupations in advertising, marketing and public relations","32,085","49,600","55,050"
"12 Administrative and financial supervisors and specialized administrative occupations","112,955","51,200","54,300"
"120 Administrative and financial supervisors","14,005","59,200","62,450"
"1201 Administrative and financial supervisors","14,005","59,200","62,450"
"12010 Supervisors, general office and administrative support workers","4,095","66,000","70,700"
"12011 Supervisors, finance and insurance office workers","3,880","61,600","63,150"
"12012 Supervisors, library, correspondence and related information workers","410","53,200","59,000"
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","5,625","53,600","56,250"
"121 Specialized administrative occupations","55,450","54,400","57,350"
"1210 Administrative and regulatory occupations","49,755","55,600","58,800"
"12100 Executive assistants","12,700","58,800","64,100"
"12101 Human resources and recruitment officers","13,085","53,200","57,250"
"12102 Procurement and purchasing agents and officers","13,260","59,200","62,950"
"12103 Conference and event planners","4,160","36,800","39,960"
"12104 Employment insurance and revenue officers","6,550","55,200","55,000"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","5,695","46,400","44,720"
"12110 Court reporters, medical transcriptionists and related occupations","1,965","37,600","33,240"
"12111 Health information management occupations","2,005","56,000","52,950"
"12112 Records management technicians","995","50,400","48,800"
"12113 Statistical officers and related research support occupations","730","44,400","47,400"
"122 Accounting, insurance and related business administrative occupations","43,500","45,200","47,800"
"1220 Accounting, insurance and related business administrative occupations","43,500","45,200","47,800"
"12200 Accounting technicians and bookkeepers","28,890","40,000","40,840"
"12201 Insurance adjusters and claims examiners","6,655","58,400","62,400"
"12202 Insurance underwriters","2,800","62,400","66,200"
"12203 Assessors, business valuators and appraisers","5,150","50,000","58,000"
"13 Administrative occupations and transportation logistics occupations","198,535","42,000","43,240"
"131 Administrative occupations","184,465","41,600","42,440"
"1310 Administrative, property and payroll officers","83,625","46,400","49,240"
"13100 Administrative officers","70,705","46,000","49,000"
"13101 Property administrators","6,395","43,200","49,560"
"13102 Payroll administrators","6,525","51,600","51,700"
"1311 Office administrative assistants - general, legal and medical","100,840","36,800","36,800"
"13110 Administrative assistants","88,190","36,400","36,360"
"13111 Legal administrative assistants","6,675","42,800","43,960"
"13112 Medical administrative assistants","5,980","36,800","35,320"
"132 Transportation and production logistics coordinators and customs brokers and related broker occupations","14,070","50,000","54,000"
"1320 Transportation and production logistics coordinators and customs brokers and related broker occupations","14,070","50,000","54,000"
"13200 Customs, ship and other brokers","1,035","51,600","64,200"
