NOC21_2 digit,NOC21_5 digit
00 Legislative and senior managers,00010 Legislators
00 Legislative and senior managers,00018 Seniors managers - public and private sector
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",10010 Financial managers
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",10011 Human resources managers
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",10012 Purchasing managers
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",10019 Other administrative services managers
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","10020 Insurance, real estate and financial brokerage managers"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","10021 Banking, credit and other investment managers"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","10022 Advertising, marketing and public relations managers"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",10029 Other business services managers
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",10030 Telecommunication carriers managers
11 Professional occupations in finance and business,11100 Financial auditors and accountants
11 Professional occupations in finance and business,11101 Financial and investment analysts
11 Professional occupations in finance and business,11102 Financial advisors
11 Professional occupations in finance and business,"11103 Securities agents, investment dealers and brokers"
11 Professional occupations in finance and business,11109 Other financial officers
11 Professional occupations in finance and business,11200 Human resources professionals
11 Professional occupations in finance and business,11201 Professional occupations in business management consulting
11 Professional occupations in finance and business,"11202 Professional occupations in advertising, marketing and public relations"
12 Administrative and financial supervisors and specialized administrative occupations,"12010 Supervisors, general office and administrative support workers"
12 Administrative and financial supervisors and specialized administrative occupations,"12011 Supervisors, finance and insurance office workers"
12 Administrative and financial supervisors and specialized administrative occupations,"12012 Supervisors, library, correspondence and related information workers"
12 Administrative and financial supervisors and specialized administrative occupations,"12013 Supervisors, supply chain, tracking and scheduling coordination occupations"
12 Administrative and financial supervisors and specialized administrative occupations,12100 Executive assistants
12 Administrative and financial supervisors and specialized administrative occupations,12101 Human resources and recruitment officers
12 Administrative and financial supervisors and specialized administrative occupations,12102 Procurement and purchasing agents and officers
12 Administrative and financial supervisors and specialized administrative occupations,12103 Conference and event planners
12 Administrative and financial supervisors and specialized administrative occupations,12104 Employment insurance and revenue officers
12 Administrative and financial supervisors and specialized administrative occupations,"12110 Court reporters, medical transcriptionists and related occupations"
12 Administrative and financial supervisors and specialized administrative occupations,12111 Health information management occupations
12 Administrative and financial supervisors and specialized administrative occupations,12112 Records management technicians
12 Administrative and financial supervisors and specialized administrative occupations,12113 Statistical officers and related research support occupations
12 Administrative and financial supervisors and specialized administrative occupations,12200 Accounting technicians and bookkeepers
12 Administrative and financial supervisors and specialized administrative occupations,12201 Insurance adjusters and claims examiners
12 Administrative and financial supervisors and specialized administrative occupations,12202 Insurance underwriters
12 Administrative and financial supervisors and specialized administrative occupations,"12203 Assessors, business valuators and appraisers"
13 Administrative occupations and transportation logistics occupations,13100 Administrative officers
13 Administrative occupations and transportation logistics occupations,13101 Property administrators
13 Administrative occupations and transportation logistics occupations,13102 Payroll administrators
13 Administrative occupations and transportation logistics occupations,13110 Administrative assistants
13 Administrative occupations and transportation logistics occupations,13111 Legal administrative assistants
13 Administrative occupations and transportation logistics occupations,13112 Medical administrative assistants
13 Administrative occupations and transportation logistics occupations,"13200 Customs, ship and other brokers"
13 Administrative occupations and transportation logistics occupations,13201 Production and transportation logistics coordinators
14 Administrative and financial support and supply chain logistics occupations,14100 General office support workers
14 Administrative and financial support and supply chain logistics occupations,14101 Receptionists
14 Administrative and financial support and supply chain logistics occupations,14102 Personnel clerks
14 Administrative and financial support and supply chain logistics occupations,14103 Court clerks and related court services occupations
14 Administrative and financial support and supply chain logistics occupations,14110 Survey interviewers and statistical clerks
14 Administrative and financial support and supply chain logistics occupations,14111 Data entry clerks
14 Administrative and financial support and supply chain logistics occupations,14112 Desktop publishing operators and related occupations
14 Administrative and financial support and supply chain logistics occupations,14200 Accounting and related clerks
14 Administrative and financial support and supply chain logistics occupations,"14201 Banking, insurance and other financial clerks"
14 Administrative and financial support and supply chain logistics occupations,14202 Collection clerks
14 Administrative and financial support and supply chain logistics occupations,14300 Library assistants and clerks
14 Administrative and financial support and supply chain logistics occupations,"14301 Correspondence, publication and regulatory clerks"
14 Administrative and financial support and supply chain logistics occupations,14400 Shippers and receivers
14 Administrative and financial support and supply chain logistics occupations,14401 Storekeepers and partspersons
