Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"21,505","71,000","76,200",Northwest Territories
0 Legislative and senior management occupations,400,"127,000","138,500",Northwest Territories
00 Legislative and senior managers,400,"127,000","138,500",Northwest Territories
000 Legislative and senior managers,400,"127,000","138,500",Northwest Territories
0001 Legislative and senior managers,400,"127,000","138,500",Northwest Territories
00010 Legislators,70,"123,000","108,000",Northwest Territories
00018 Seniors managers - public and private sector 15,330,"134,000","145,000",Northwest Territories
"1 Business, finance and administration occupations","4,020","80,000","78,900",Northwest Territories
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",505,"121,000","114,400",Northwest Territories
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",505,"121,000","114,400",Northwest Territories
1001 Administrative services managers,315,"125,000","117,000",Northwest Territories
10010 Financial managers,115,"126,000","112,000",Northwest Territories
10011 Human resources managers,80,"128,000","132,000",Northwest Territories
10012 Purchasing managers,25,"109,000","110,000",Northwest Territories
10019 Other administrative services managers,95,"111,000","114,000",Northwest Territories
1002 Managers in financial and business services,180,"110,000","109,000",Northwest Territories
"10020 Insurance, real estate and financial brokerage managers",30,0,"130,000",Northwest Territories
"10021 Banking, credit and other investment managers",35,"130,000","120,000",Northwest Territories
"10022 Advertising, marketing and public relations managers",80,"107,000","94,000",Northwest Territories
10029 Other business services managers,30,"115,000","120,000",Northwest Territories
1003 Managers in communication (except broadcasting),0,0,0,Northwest Territories
10030 Telecommunication carriers managers,0,0,0,Northwest Territories
11 Professional occupations in finance and business,545,"95,000","90,800",Northwest Territories
111 Professional occupations in finance,200,"89,000","91,000",Northwest Territories
"1110 Auditors, accountants and investment professionals",200,"89,000","91,000",Northwest Territories
11100 Financial auditors and accountants,115,"100,000","100,000",Northwest Territories
11101 Financial and investment analysts,40,"68,000","72,000",Northwest Territories
11102 Financial advisors,50,"73,000","84,000",Northwest Territories
"11103 Securities agents, investment dealers and brokers",0,0,0,Northwest Territories
11109 Other financial officers,0,0,0,Northwest Territories
112 Professional occupations in business,340,"96,000","90,800",Northwest Territories
1120 Human resources and business service professionals,340,"96,000","90,800",Northwest Territories
11200 Human resources professionals,135,"98,000","88,000",Northwest Territories
11201 Professional occupations in business management consulting,75,"117,000","112,000",Northwest Territories
"11202 Professional occupations in advertising, marketing and public relations",130,"87,000","80,000",Northwest Territories
12 Administrative and financial supervisors and specialized administrative occupations,690,"86,000","82,000",Northwest Territories
120 Administrative and financial supervisors,75,"74,500","74,000",Northwest Territories
1201 Administrative and financial supervisors,75,"74,500","74,000",Northwest Territories
"12010 Supervisors, general office and administrative support workers",20,0,"60,000",Northwest Territories
"12011 Supervisors, finance and insurance office workers",20,0,"90,000",Northwest Territories
"12012 Supervisors, library, correspondence and related information workers",10,0,"50,000",Northwest Territories
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",25,"90,000","90,000",Northwest Territories
121 Specialized administrative occupations,365,"87,000","84,000",Northwest Territories
1210 Administrative and regulatory occupations,325,"87,000","84,800",Northwest Territories
12100 Executive assistants,110,"80,000","80,000",Northwest Territories
12101 Human resources and recruitment officers,55,"106,000","96,000",Northwest Territories
12102 Procurement and purchasing agents and officers,100,"95,000","94,000",Northwest Territories
12103 Conference and event planners,15,0,"70,000",Northwest Territories
12104 Employment insurance and revenue officers,40,"78,500","64,000",Northwest Territories
