Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"539,275","42,400","52,000",Saskatchewan
0 Legislative and senior management occupations,"5,075","94,000","122,600",Saskatchewan
00 Legislative and senior managers,"5,075","94,000","122,600",Saskatchewan
000 Legislative and senior managers,"5,075","94,000","122,600",Saskatchewan
0001 Legislative and senior managers,"5,075","94,000","122,600",Saskatchewan
00010 Legislators,555,"55,200","64,400",Saskatchewan
00018 Seniors managers - public and private sector 15,"4,520","98,000","129,800",Saskatchewan
"1 Business, finance and administration occupations","81,340","49,200","56,350",Saskatchewan
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","8,270","89,000","95,000",Saskatchewan
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","8,270","89,000","95,000",Saskatchewan
1001 Administrative services managers,"3,965","91,000","96,200",Saskatchewan
10010 Financial managers,"1,215","96,000","96,400",Saskatchewan
10011 Human resources managers,"1,275","99,000","107,400",Saskatchewan
10012 Purchasing managers,525,"99,000","106,400",Saskatchewan
10019 Other administrative services managers,945,"65,000","75,400",Saskatchewan
1002 Managers in financial and business services,"4,100","87,000","93,100",Saskatchewan
"10020 Insurance, real estate and financial brokerage managers",675,"96,000","121,800",Saskatchewan
"10021 Banking, credit and other investment managers","1,795","91,000","94,800",Saskatchewan
"10022 Advertising, marketing and public relations managers","1,180","79,000","81,600",Saskatchewan
10029 Other business services managers,445,"67,000","72,800",Saskatchewan
1003 Managers in communication (except broadcasting),210,"116,000","111,000",Saskatchewan
10030 Telecommunication carriers managers,210,"116,000","111,000",Saskatchewan
11 Professional occupations in finance and business,"13,970","69,000","82,600",Saskatchewan
111 Professional occupations in finance,"7,950","69,500","91,400",Saskatchewan
"1110 Auditors, accountants and investment professionals","7,950","69,500","91,400",Saskatchewan
11100 Financial auditors and accountants,"4,190","70,000","81,100",Saskatchewan
11101 Financial and investment analysts,570,"87,000","108,800",Saskatchewan
11102 Financial advisors,"2,545","67,500","110,500",Saskatchewan
"11103 Securities agents, investment dealers and brokers",165,"43,200","79,000",Saskatchewan
11109 Other financial officers,480,"65,500","63,600",Saskatchewan
112 Professional occupations in business,"6,030","68,000","71,100",Saskatchewan
1120 Human resources and business service professionals,"6,030","68,000","71,100",Saskatchewan
11200 Human resources professionals,"2,290","79,500","80,000",Saskatchewan
11201 Professional occupations in business management consulting,"1,360","73,000","81,400",Saskatchewan
"11202 Professional occupations in advertising, marketing and public relations","2,380","53,200","56,700",Saskatchewan
12 Administrative and financial supervisors and specialized administrative occupations,"13,100","53,200","53,050",Saskatchewan
120 Administrative and financial supervisors,"1,560","60,000","63,150",Saskatchewan
1201 Administrative and financial supervisors,"1,560","60,000","63,150",Saskatchewan
"12010 Supervisors, general office and administrative support workers",465,"56,400","63,000",Saskatchewan
"12011 Supervisors, finance and insurance office workers",440,"66,500","68,400",Saskatchewan
"12012 Supervisors, library, correspondence and related information workers",70,"23,600","34,000",Saskatchewan
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",590,"59,600","62,800",Saskatchewan
121 Specialized administrative occupations,"4,790","58,400","59,900",Saskatchewan
1210 Administrative and regulatory occupations,"4,100","60,400","62,600",Saskatchewan
12100 Executive assistants,"1,250","61,200","65,000",Saskatchewan
12101 Human resources and recruitment officers,560,"58,400","62,400",Saskatchewan
12102 Procurement and purchasing agents and officers,"1,285","66,500","69,300",Saskatchewan
12103 Conference and event planners,295,"27,800","33,200",Saskatchewan
12104 Employment insurance and revenue officers,710,"58,000","58,700",Saskatchewan
