Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"22,855","58,800","62,750",Yukon
0 Legislative and senior management occupations,450,"88,000","101,600",Yukon
00 Legislative and senior managers,450,"88,000","101,600",Yukon
000 Legislative and senior managers,450,"88,000","101,600",Yukon
0001 Legislative and senior managers,450,"88,000","101,600",Yukon
00010 Legislators,85,"78,000","77,000",Yukon
00018 Seniors managers - public and private sector 15,365,"91,000","107,200",Yukon
"1 Business, finance and administration occupations","4,120","64,500","64,600",Yukon
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",575,"93,000","94,000",Yukon
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",575,"93,000","94,000",Yukon
1001 Administrative services managers,345,"93,000","92,400",Yukon
10010 Financial managers,130,"91,000","86,000",Yukon
10011 Human resources managers,85,"92,000","96,000",Yukon
10012 Purchasing managers,0,0,0,Yukon
10019 Other administrative services managers,115,"97,000","92,000",Yukon
1002 Managers in financial and business services,200,"90,000","90,000",Yukon
"10020 Insurance, real estate and financial brokerage managers",25,0,"80,000",Yukon
"10021 Banking, credit and other investment managers",65,"88,000","100,000",Yukon
"10022 Advertising, marketing and public relations managers",95,"93,000","92,000",Yukon
10029 Other business services managers,25,"78,000","68,000",Yukon
1003 Managers in communication (except broadcasting),30,0,"150,000",Yukon
10030 Telecommunication carriers managers,30,0,"150,000",Yukon
11 Professional occupations in finance and business,610,"81,000","75,200",Yukon
111 Professional occupations in finance,190,"77,500","76,500",Yukon
"1110 Auditors, accountants and investment professionals",190,"77,500","76,500",Yukon
11100 Financial auditors and accountants,90,"91,000","86,000",Yukon
11101 Financial and investment analysts,20,0,"68,000",Yukon
11102 Financial advisors,65,"69,000","70,000",Yukon
"11103 Securities agents, investment dealers and brokers",0,0,0,Yukon
11109 Other financial officers,0,0,0,Yukon
112 Professional occupations in business,420,"81,000","74,400",Yukon
1120 Human resources and business service professionals,420,"81,000","74,400",Yukon
11200 Human resources professionals,170,"81,000","77,500",Yukon
11201 Professional occupations in business management consulting,90,"86,000","75,000",Yukon
"11202 Professional occupations in advertising, marketing and public relations",155,"81,000","71,000",Yukon
12 Administrative and financial supervisors and specialized administrative occupations,640,"68,000","66,000",Yukon
120 Administrative and financial supervisors,80,"88,000","77,000",Yukon
1201 Administrative and financial supervisors,80,"88,000","77,000",Yukon
"12010 Supervisors, general office and administrative support workers",25,"88,000","85,000",Yukon
"12011 Supervisors, finance and insurance office workers",20,0,"70,000",Yukon
"12012 Supervisors, library, correspondence and related information workers",0,0,0,Yukon
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",30,0,"76,000",Yukon
121 Specialized administrative occupations,345,"69,000","66,800",Yukon
1210 Administrative and regulatory occupations,320,"70,500","68,500",Yukon
12100 Executive assistants,100,"66,000","65,000",Yukon
12101 Human resources and recruitment officers,50,"63,200","62,000",Yukon
12102 Procurement and purchasing agents and officers,105,"84,000","86,000",Yukon
12103 Conference and event planners,45,"56,400","48,000",Yukon
12104 Employment insurance and revenue officers,0,0,0,Yukon
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",30,"48,400","48,000",Yukon
"12110 Court reporters, medical transcriptionists and related occupations",0,0,0,Yukon
12111 Health information management occupations,0,0,0,Yukon
12112 Records management technicians,15,0,"60,000",Yukon
12113 Statistical officers and related research support occupations,0,0,0,Yukon
"122 Accounting, insurance and related business administrative occupations",210,"63,200","60,400",Yukon
"1220 Accounting, insurance and related business administrative occupations",210,"63,200","60,400",Yukon
12200 Accounting technicians and bookkeepers,185,"62,800","58,000",Yukon
12201 Insurance adjusters and claims examiners,0,0,0,Yukon
12202 Insurance underwriters,0,0,0,Yukon
"12203 Assessors, business valuators and appraisers",20,0,"80,000",Yukon
13 Administrative occupations and transportation logistics occupations,"1,165","59,200","57,200",Yukon
131 Administrative occupations,"1,155","58,800","56,900",Yukon
"1310 Administrative, property and payroll officers",600,"60,400","63,000",Yukon
13100 Administrative officers,445,"59,600","59,200",Yukon
13101 Property administrators,80,"70,000","84,000",Yukon
13102 Payroll administrators,70,"67,000","64,000",Yukon
"1311 Office administrative assistants - general, legal and medical",555,"54,000","50,200",Yukon
13110 Administrative assistants,480,"54,000","49,800",Yukon
13111 Legal administrative assistants,45,"61,200","58,000",Yukon
13112 Medical administrative assistants,35,0,"44,000",Yukon
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,15,0,"80,000",Yukon
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,15,0,"80,000",Yukon
"13200 Customs, ship and other brokers",0,0,0,Yukon
13201 Production and transportation logistics coordinators,15,0,"80,000",Yukon
14 Administrative and financial support and supply chain logistics occupations,"1,125","47,200","51,000",Yukon
"141 Office, court, and data support occupations",585,"37,600","43,000",Yukon
1410 Office support and court services occupations,475,"43,200","46,000",Yukon
14100 General office support workers,240,"45,200","49,200",Yukon
14101 Receptionists,215,"36,000","36,800",Yukon
14102 Personnel clerks,0,0,0,Yukon
14103 Court clerks and related court services occupations,20,0,"80,000",Yukon
"1411 Survey, statistical and data entry occupations",100,"30,200","29,200",Yukon
14110 Survey interviewers and statistical clerks,40,"5,360","12,000",Yukon
14111 Data entry clerks,65,"31,000","39,000",Yukon
14112 Desktop publishing operators and related occupations,0,0,0,Yukon
"142 Financial, insurance and related administrative support workers",265,"61,600","58,000",Yukon
"1420 Financial, insurance and related administrative support workers",265,"61,600","58,000",Yukon
14200 Accounting and related clerks,260,"61,600","58,000",Yukon
